setting,dataset,pred_len,activation,activation_family,amplitude,frequency,phase,lee_type,features,target,seed,server_id,server_ip,des,mse,mae,rmse,mape,mspe,relative_mse_change,win_against_baseline,run_id,encoder_activation,decoder_activation,output_activation,activation_signature,seq_len,label_len,d_model,n_heads,e_layers,d_layers,d_ff,factor,dropout,attn,embed,batch_size,train_epochs
informer_Solar1_tanh_a0_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-142_phase1_oscillation_forms_solar_4090-142_20260515_033826,Solar1,24,tanh,bounded_sign,0.0,1.0,0.0,1,M,Power,2027,4090-142,10.21.53.142,phase1_oscillation_forms_solar_4090-142_20260515_033826,0.16886018,0.18317686,0.410926,1.1813627,1917.6135,,,phase1_oscillation_forms_solar_4090-142_20260515_033826,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_sin_a0.01_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-142_phase1_oscillation_forms_solar_4090-142_20260515_033826,Solar1,24,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,Power,2027,4090-142,10.21.53.142,phase1_oscillation_forms_solar_4090-142_20260515_033826,0.16379821,0.1779416,0.40471992,1.1316357,1292.5155,,,phase1_oscillation_forms_solar_4090-142_20260515_033826,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_sin_a0.1_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-142_phase1_oscillation_forms_solar_4090-142_20260515_033826,Solar1,24,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,Power,2027,4090-142,10.21.53.142,phase1_oscillation_forms_solar_4090-142_20260515_033826,0.16847311,0.18011163,0.41045475,1.1878499,1906.0613,,,phase1_oscillation_forms_solar_4090-142_20260515_033826,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_cos_a0.01_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-142_phase1_oscillation_forms_solar_4090-142_20260515_033826,Solar1,24,tanh_cos,cos_perturb,0.01,1.0,0.0,1,M,Power,2027,4090-142,10.21.53.142,phase1_oscillation_forms_solar_4090-142_20260515_033826,0.16507654,0.18382923,0.40629613,1.224564,2503.9639,,,phase1_oscillation_forms_solar_4090-142_20260515_033826,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_cos_a0.1_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-142_phase1_oscillation_forms_solar_4090-142_20260515_033826,Solar1,24,tanh_cos,cos_perturb,0.1,1.0,0.0,1,M,Power,2027,4090-142,10.21.53.142,phase1_oscillation_forms_solar_4090-142_20260515_033826,0.16574796,0.17845179,0.40712154,1.2190844,2147.5159,,,phase1_oscillation_forms_solar_4090-142_20260515_033826,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_rand_a0.01_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-142_phase1_oscillation_forms_solar_4090-142_20260515_033826,Solar1,24,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,M,Power,2027,4090-142,10.21.53.142,phase1_oscillation_forms_solar_4090-142_20260515_033826,0.16598512,0.17925152,0.4074127,1.1827091,1720.8552,,,phase1_oscillation_forms_solar_4090-142_20260515_033826,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_rand_a0.1_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-142_phase1_oscillation_forms_solar_4090-142_20260515_033826,Solar1,24,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,M,Power,2027,4090-142,10.21.53.142,phase1_oscillation_forms_solar_4090-142_20260515_033826,0.16704343,0.17977546,0.40870947,1.1678259,1561.7218,,,phase1_oscillation_forms_solar_4090-142_20260515_033826,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_a0_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-142_phase1_oscillation_forms_solar_4090-142_20260515_033826,Solar1,24,tanh,bounded_sign,0.0,1.0,0.0,1,M,Power,2028,4090-142,10.21.53.142,phase1_oscillation_forms_solar_4090-142_20260515_033826,0.1650269,0.18196969,0.40623504,1.2188451,2670.3096,,,phase1_oscillation_forms_solar_4090-142_20260515_033826,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_sin_a0.01_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-142_phase1_oscillation_forms_solar_4090-142_20260515_033826,Solar1,24,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,Power,2028,4090-142,10.21.53.142,phase1_oscillation_forms_solar_4090-142_20260515_033826,0.1639864,0.17901212,0.40495235,1.1561159,1714.9178,,,phase1_oscillation_forms_solar_4090-142_20260515_033826,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_sin_a0.1_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-142_phase1_oscillation_forms_solar_4090-142_20260515_033826,Solar1,24,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,Power,2028,4090-142,10.21.53.142,phase1_oscillation_forms_solar_4090-142_20260515_033826,0.160041,0.17763846,0.40005127,1.199626,1880.0413,,,phase1_oscillation_forms_solar_4090-142_20260515_033826,,,,,,,,,,,,,,,,,
