dataset,pred_len,features,activation,activation_family,amplitude,frequency,phase,lee_type,baseline_activation,mse_mean,mse_std,mae_mean,mae_std,seed_count_x,server_count,relative_mse_change_mean,win_rate,effect_label,source_file,global_label,factor,sample_count,seed_count_y,start_bin,middle_bin,end_bin,target_relative_change_low,target_relative_change_mid,target_relative_change_high,target_relative_change_high_minus_low,target_win_rate_low,target_win_rate_mid,target_win_rate_high,target_win_rate_high_minus_low,relative_target_mse_change_spearman,target_win_spearman,factor_conditioned,factor_source_file,factor_label
ETTh1,24,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.6869114344444445,0.0434347973142364,0.6085168822222222,0.0206166186711162,3,1,0.0625615287869343,0.7777777777777778,effective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,effective,volatility,25632,3,low,mid,high,0.5477866892867389,,,,0.9438982521847692,,,,0.3310439038219986,0.2620984647402062,True,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,supports_factor_gradient_only
ETTh1,24,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,0.6864824383333333,0.0408002851544566,0.6074245,0.0181111717374365,3,1,-0.0166469356698955,0.1666666666666666,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,turbulence_score,17088,3,low,mid,high,-0.0214175414505466,,,,0.5287336142322098,,,,-0.0463260947958435,-0.0345024200404483,False,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
ETTh1,24,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,0.6864824383333333,0.0408002851544566,0.6074245,0.0181111717374365,3,1,-0.0166469356698955,0.1666666666666666,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,volatility,17088,3,low,mid,high,-0.0214175414505466,,,,0.5287336142322098,,,,0.0003950932207974,0.0024629256182689,False,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
ETTh1,24,M,tanh_sin,sin_perturb,0.05,1.0,0.0,1,tanh,0.6853777933333333,0.0547776698498381,0.6080716383333333,0.0257658019902664,3,1,-0.0129511277438784,0.3333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,turbulence_score,17088,3,low,mid,high,0.0212441538130917,,,,0.600187265917603,,,,-0.0229436238771164,-0.0102270527202705,False,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
ETTh1,24,M,tanh_sin,sin_perturb,0.05,1.0,0.0,1,tanh,0.6853777933333333,0.0547776698498381,0.6080716383333333,0.0257658019902664,3,1,-0.0129511277438784,0.3333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,volatility,17088,3,low,mid,high,0.0212441538130917,,,,0.600187265917603,,,,-0.0638970005885457,-0.0366671372707695,False,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
ETTh1,24,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,0.6910935483333334,0.0410405885284314,0.6098391083333333,0.0180513590784299,3,1,-0.0229210278430751,0.3333333333333333,negative,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,negative,turbulence_score,17088,3,low,mid,high,-0.0071659841506634,,,,0.5656015917602997,,,,-0.0467302782556203,-0.0366809994522892,False,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
ETTh1,24,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,0.6910935483333334,0.0410405885284314,0.6098391083333333,0.0180513590784299,3,1,-0.0229210278430751,0.3333333333333333,negative,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,negative,volatility,17088,3,low,mid,high,-0.0071659841506634,,,,0.5656015917602997,,,,-0.0386366022665415,-0.0134877195684027,False,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,1.0608282,0.061035914699593,0.8248468999999999,0.0284217666900402,6,2,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,turbulence_score,8112,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.113/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,1.0608282,0.061035914699593,0.8248468999999999,0.0284217666900402,6,2,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,volatility,8112,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.113/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,1.0608282,0.061035914699593,0.8248468999999999,0.0284217666900402,6,2,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,turbulence_score,8112,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.62/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
