eval_name,fold,feature_set,action_name,action_family,feature,direction,threshold,objective,fired_count,fired_rate,precision,mean_uplift_if_fired,policy_mean_uplift
supplement_leave_new_dataset,Exchange,data,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.3587853732397632,0.05743154533157594,28,0.6666666666666666,0.7142857142857143,0.08614731799736389,0.05743154533157594
supplement_leave_new_dataset,Exchange,data,placement_decoder_tanh_vs_default,placement,input_std,low,3.433626549002514,0.023132628173667975,17,0.40476190476190477,0.7058823529411765,0.05715119901729736,0.023132628173667975
supplement_leave_new_dataset,Exchange,data,placement_encoder_tanh_vs_default,placement,input_cumulative_change,high,-0.1181661362872147,0.05164615694225255,37,0.8809523809523809,0.7297297297297297,0.058625367339854254,0.05164615694225255
supplement_leave_new_dataset,Exchange,data,placement_output_tanh_matched,placement,abstain,none,,0.0,0,0.0,,,0.0
supplement_leave_new_dataset,Exchange,data,placement_output_tanh_vs_best_linear,placement,abstain,none,,0.0,0,0.0,,,0.0
supplement_leave_new_dataset,Exchange,data,regime_best_bounded_vs_default,regime,input_volatility,high,0.16511778759143694,0.12954067732174376,37,0.8809523809523809,0.918918918918919,0.14704617425711453,0.12954067732174376
supplement_leave_new_dataset,Exchange,data,regime_softsign_vs_default,regime,input_volatility_shock,high,-0.19069681885931264,0.10148404364148533,37,0.8809523809523809,0.8108108108108109,0.11519810359303738,0.10148404364148533
supplement_leave_new_dataset,Exchange,data,regime_tanh_sin_vs_default,regime,input_volatility,high,0.16511778759143694,0.10833870521920205,37,0.8809523809523809,0.8648648648648649,0.12297907078936447,0.10833870521920205
supplement_leave_new_dataset,Exchange,data,regime_tanh_vs_default,regime,input_volatility,high,0.16511778759143694,0.10982643110029297,37,0.8809523809523809,0.8918918918918919,0.12466784070844064,0.10982643110029297
supplement_leave_new_dataset,Exchange,frequency,placement_all_tanh_vs_best_split,placement,router_freq_seasonal_peak_strength,low,0.7585883810110137,0.05760313897275119,22,0.5238095238095238,0.8181818181818182,0.10996962894797956,0.05760313897275119
supplement_leave_new_dataset,Exchange,frequency,placement_decoder_tanh_vs_default,placement,router_timefreq_phase_concentration,low,0.4446010568068785,0.024431423550668137,25,0.5952380952380952,0.68,0.041044791565122474,0.024431423550668137
supplement_leave_new_dataset,Exchange,frequency,placement_encoder_tanh_vs_default,placement,input_daily_cycle_energy_ratio,high,0.5526778326423306,0.04976403893349086,34,0.8095238095238095,0.7058823529411765,0.06147322456490046,0.04976403893349086
supplement_leave_new_dataset,Exchange,frequency,placement_output_tanh_matched,placement,router_timefreq_burstiness_index,low,2.9419340233578035,0.011611109662722205,5,0.11904761904761904,1.0,0.09753332116686653,0.011611109662722205
supplement_leave_new_dataset,Exchange,frequency,placement_output_tanh_vs_best_linear,placement,router_timefreq_burstiness_index,low,2.9419340233578035,0.006436965806879893,5,0.11904761904761904,0.8,0.05407051277779111,0.006436965806879893
supplement_leave_new_dataset,Exchange,frequency,regime_best_bounded_vs_default,regime,input_spectral_flatness,high,0.016042529518746403,0.12786844010727688,37,0.8809523809523809,0.918918918918919,0.14514795904069266,0.12786844010727688
supplement_leave_new_dataset,Exchange,frequency,regime_softsign_vs_default,regime,input_daily_cycle_energy_ratio,high,0.5526778326423306,0.09696940316855042,34,0.8095238095238095,0.7647058823529411,0.11978573332585638,0.09696940316855042
supplement_leave_new_dataset,Exchange,frequency,regime_tanh_sin_vs_default,regime,input_daily_cycle_energy_ratio,high,0.5526778326423306,0.1026091175811142,34,0.8095238095238095,0.8235294117647058,0.12675243936490577,0.1026091175811142
supplement_leave_new_dataset,Exchange,frequency,regime_tanh_vs_default,regime,input_daily_cycle_energy_ratio,high,0.5526778326423306,0.10371893957175243,34,0.8095238095238095,0.8529411764705882,0.12812339594157654,0.10371893957175243
supplement_leave_new_dataset,Exchange,statistical,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.3587853732397632,0.05743154533157594,28,0.6666666666666666,0.7142857142857143,0.08614731799736389,0.05743154533157594
supplement_leave_new_dataset,Exchange,statistical,placement_decoder_tanh_vs_default,placement,input_std,low,3.433626549002514,0.023132628173667975,17,0.40476190476190477,0.7058823529411765,0.05715119901729736,0.023132628173667975
supplement_leave_new_dataset,Exchange,statistical,placement_encoder_tanh_vs_default,placement,input_cumulative_change,high,-0.1181661362872147,0.05164615694225255,37,0.8809523809523809,0.7297297297297297,0.058625367339854254,0.05164615694225255
supplement_leave_new_dataset,Exchange,statistical,placement_output_tanh_matched,placement,abstain,none,,0.0,0,0.0,,,0.0
supplement_leave_new_dataset,Exchange,statistical,placement_output_tanh_vs_best_linear,placement,abstain,none,,0.0,0,0.0,,,0.0
supplement_leave_new_dataset,Exchange,statistical,regime_best_bounded_vs_default,regime,input_volatility,high,0.16511778759143694,0.12954067732174376,37,0.8809523809523809,0.918918918918919,0.14704617425711453,0.12954067732174376
supplement_leave_new_dataset,Exchange,statistical,regime_softsign_vs_default,regime,input_volatility_shock,high,-0.19069681885931264,0.10148404364148533,37,0.8809523809523809,0.8108108108108109,0.11519810359303738,0.10148404364148533
supplement_leave_new_dataset,Exchange,statistical,regime_tanh_sin_vs_default,regime,input_volatility,high,0.16511778759143694,0.10833870521920205,37,0.8809523809523809,0.8648648648648649,0.12297907078936447,0.10833870521920205
supplement_leave_new_dataset,Exchange,statistical,regime_tanh_vs_default,regime,input_volatility,high,0.16511778759143694,0.10982643110029297,37,0.8809523809523809,0.8918918918918919,0.12466784070844064,0.10982643110029297
supplement_leave_new_dataset,Exchange,all_input,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.3587853732397632,0.05743154533157594,28,0.6666666666666666,0.7142857142857143,0.08614731799736389,0.05743154533157594
supplement_leave_new_dataset,Exchange,all_input,placement_decoder_tanh_vs_default,placement,input_std,low,3.433626549002514,0.023132628173667975,17,0.40476190476190477,0.7058823529411765,0.05715119901729736,0.023132628173667975
supplement_leave_new_dataset,Exchange,all_input,placement_encoder_tanh_vs_default,placement,input_cumulative_change,high,-0.1181661362872147,0.05164615694225255,37,0.8809523809523809,0.7297297297297297,0.058625367339854254,0.05164615694225255
supplement_leave_new_dataset,Exchange,all_input,placement_output_tanh_matched,placement,abstain,none,,0.0,0,0.0,,,0.0
supplement_leave_new_dataset,Exchange,all_input,placement_output_tanh_vs_best_linear,placement,abstain,none,,0.0,0,0.0,,,0.0
supplement_leave_new_dataset,Exchange,all_input,regime_best_bounded_vs_default,regime,input_volatility,high,0.16511778759143694,0.12954067732174376,37,0.8809523809523809,0.918918918918919,0.14704617425711453,0.12954067732174376
supplement_leave_new_dataset,Exchange,all_input,regime_softsign_vs_default,regime,input_volatility_shock,high,-0.19069681885931264,0.10148404364148533,37,0.8809523809523809,0.8108108108108109,0.11519810359303738,0.10148404364148533
supplement_leave_new_dataset,Exchange,all_input,regime_tanh_sin_vs_default,regime,input_volatility,high,0.16511778759143694,0.10833870521920205,37,0.8809523809523809,0.8648648648648649,0.12297907078936447,0.10833870521920205
supplement_leave_new_dataset,Exchange,all_input,regime_tanh_vs_default,regime,input_volatility,high,0.16511778759143694,0.10982643110029297,37,0.8809523809523809,0.8918918918918919,0.12466784070844064,0.10982643110029297
supplement_leave_new_dataset,ILI,data,placement_all_tanh_vs_best_split,placement,input_trend,high,0.037465462517560805,0.051784678139216736,20,0.47619047619047616,0.7,0.10874782409235513,0.051784678139216736
supplement_leave_new_dataset,ILI,data,placement_decoder_tanh_vs_default,placement,input_range,low,10.730289802804167,0.02636018023164247,22,0.5238095238095238,0.7727272727272727,0.050323980442226544,0.02636018023164247
supplement_leave_new_dataset,ILI,data,placement_encoder_tanh_vs_default,placement,input_volatility,high,0.172552539873002,0.05054723893200963,34,0.8095238095238095,0.7352941176470589,0.0624407069160119,0.05054723893200963
supplement_leave_new_dataset,ILI,data,placement_output_tanh_matched,placement,abstain,none,,0.0,0,0.0,,,0.0
supplement_leave_new_dataset,ILI,data,placement_output_tanh_vs_best_linear,placement,abstain,none,,0.0,0,0.0,,,0.0
supplement_leave_new_dataset,ILI,data,regime_best_bounded_vs_default,regime,input_anomaly_density_intensity,low,0.06909888537249925,0.12904058285785686,37,0.8809523809523809,0.8918918918918919,0.14647849946026995,0.12904058285785686
supplement_leave_new_dataset,ILI,data,regime_softsign_vs_default,regime,input_anomaly_density_intensity,low,0.06909888537249925,0.09958063726854807,37,0.8809523809523809,0.7567567567567568,0.11303748014267616,0.09958063726854807
supplement_leave_new_dataset,ILI,data,regime_tanh_sin_vs_default,regime,input_anomaly_density_intensity,low,0.06909888537249925,0.10716858636485667,37,0.8809523809523809,0.8378378378378378,0.12165082776551298,0.10716858636485667
supplement_leave_new_dataset,ILI,data,regime_tanh_vs_default,regime,input_anomaly_density_intensity,low,0.06909888537249925,0.10857985519599851,37,0.8809523809523809,0.8648648648648649,0.12325280860086318,0.10857985519599851
supplement_leave_new_dataset,ILI,frequency,placement_all_tanh_vs_best_split,placement,router_freq_high_freq_noise_share,low,0.009102007619819547,0.0509287679707104,20,0.47619047619047616,0.75,0.10695041273849182,0.0509287679707104
supplement_leave_new_dataset,ILI,frequency,placement_decoder_tanh_vs_default,placement,router_timefreq_phase_concentration,low,0.4446010568068785,0.025417318284777245,25,0.5952380952380952,0.72,0.04270109471842577,0.025417318284777245
