dataset,pred_len,features,target,activation,encoder_activation,decoder_activation,output_activation,activation_signature,activation_family,amplitude,lee_type,baseline_activation,baseline_activation_signature,factor,factor_bin,sample_count,seed_count,baseline_target_mse_mean,activation_target_mse_mean,target_mse_delta_mean,aggregate_relative_target_mse_change,relative_target_mse_change_mean,target_win_rate,baseline_all_mse_mean,activation_all_mse_mean,all_mse_delta_mean,aggregate_relative_all_mse_change,relative_all_mse_change_mean,all_win_rate
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,high,16428,3,0.2117165,0.20233007,0.009386435,0.044334926,-0.35586115876850766,0.516009252495739,0.15550265,0.14798683,0.007515818,0.04833241,-0.13402598196089818,0.5163744825906988
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,low,14703,3,0.3566656,0.31952965,0.03713596,0.104119815,-0.5133608936393818,0.5887233897843978,0.22085612,0.20502055,0.015835568,0.071700834,-0.11393436888172227,0.5920560429844249
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,mid,10629,3,0.2842039,0.27339068,0.010813206,0.038047355,-0.32989240232205347,0.5252610781823314,0.22132444,0.21358821,0.007736236,0.034954276,-0.17990447232650958,0.5225326935741839
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,high,16428,3,0.2117165,0.20818496,0.0035315454,0.016680539,-0.32177036754485744,0.5220355490625761,0.15550265,0.15169254,0.0038101077,0.024501882,-0.14090446464390005,0.5194789383978573
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,low,14703,3,0.31952965,0.29914075,0.020388901,0.063809104,-0.30328553090507715,0.5050669931306536,0.20502055,0.19174904,0.013271511,0.06473259,-0.1397685641209815,0.4850030605998776
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,mid,10629,3,0.27339068,0.27763683,-0.0042461455,-0.01553142,-0.4224293908322195,0.5018346034434096,0.21358821,0.21456704,-0.0009788275,-0.0045827786,-0.20428195968174467,0.5105842506350551
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,high,16428,3,0.20818496,0.20094848,0.0072364807,0.034759864,-0.270223839971806,0.5177136596055515,0.15169254,0.14957812,0.0021144152,0.013938821,-0.12435959251948642,0.5116873630387144
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,low,14739,3,0.21522714,0.20810916,0.0071179867,0.033071976,-0.19108543980969916,0.5518013433747201,0.22183406,0.2113305,0.01050356,0.047348727,-0.0788628658090427,0.5318542641970283
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,mid,18660,3,0.20571877,0.17798963,0.027729139,0.13479148,-0.19967400618392753,0.5801714898177921,0.26102138,0.2534192,0.007602185,0.029124761,-0.07766910155342083,0.5306002143622722
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,high,8361,3,0.12459385,0.12273816,0.0018556863,0.014893884,-0.481220048104278,0.4597536179882789,0.17478497,0.18118891,-0.006403938,-0.03663895,-0.21143132740886883,0.4483913407487143
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,low,14739,3,0.21522714,0.1988538,0.016373336,0.07607468,-0.1519218673720653,0.565099396159848,0.22183406,0.21008557,0.011748493,0.052960724,-0.07619719594108303,0.5210665581111338
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,mid,18660,3,0.20571877,0.18468115,0.021037623,0.102263995,-0.1757912451333403,0.5740621650589496,0.26102138,0.25620562,0.0048157573,0.018449666,-0.0875830554205783,0.5195069667738478
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,high,8361,3,0.12459385,0.12616365,-0.0015698001,-0.012599339,-0.3874289801418193,0.4506637961966272,0.17478497,0.18062052,-0.005835548,-0.033387013,-0.16545444167369458,0.4241119483315393
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,low,14739,3,0.1988538,0.20592608,-0.00707227,-0.03556517,-0.22210502868717,0.4942669109166158,0.21008557,0.20923635,0.0008492172,0.004042244,-0.07198135515030714,0.5005767012687428
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,mid,18660,3,0.18468115,0.19587219,-0.01119104,-0.060596548,-0.32909945769627663,0.4489817792068596,0.25620562,0.26682952,-0.010623902,-0.04146631,-0.15206775452583568,0.4592711682743837
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,high,8361,3,0.12616365,0.1139891,0.012174547,0.09649806,-0.029257584049469185,0.5907188135390503,0.18062052,0.18044095,0.0001795739,0.0009942054,-0.055787860768748976,0.49970099270422197
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,low,13017,3,0.30061546,0.2424823,0.058133155,0.19338046,-0.3061296415442148,0.5961435046477683,0.19600034,0.17241384,0.023586497,0.12033906,-0.07414853850492636,0.5760928017208267
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,mid,9195,3,0.3248229,0.28887397,0.035948932,0.11067241,-0.1358952618452951,0.5619358346927678,0.24661398,0.22736399,0.01924999,0.07805718,-0.042318921312033325,0.5482327351821642
