dataset,pred_len,activation,activation_family,amplitude,lee_type,baseline_activation,factor,source_host,sample_count,seed_count,relative_target_mse_change_mean_low,relative_target_mse_change_mean_high,relative_target_mse_change_mean_high_minus_low,aggregate_relative_target_mse_change_low,aggregate_relative_target_mse_change_high,aggregate_relative_target_mse_change_high_minus_low,target_win_rate_low,target_win_rate_high,target_win_rate_high_minus_low,relative_all_mse_change_mean_low,relative_all_mse_change_mean_high,relative_all_mse_change_mean_high_minus_low,aggregate_relative_all_mse_change_low,aggregate_relative_all_mse_change_high,aggregate_relative_all_mse_change_high_minus_low,all_win_rate_low,all_win_rate_high,all_win_rate_high_minus_low
ETTh1,168,tanh_sin,sin_perturb,0.01,1,tanh,max_abs_change,10.21.53.113,10800,3,-0.0426110927464935,-0.0900954557743534,-0.047484363027859904,-0.031800627708435,-0.072237879037857,-0.040437251329422,0.4392235123367198,0.34,-0.09922351233671978,0.0154925430553012,-0.0117689931063311,-0.0272615361616323,0.0176178347319364,-0.0061575295403599,-0.0237753642722963,0.6137518142235123,0.47,-0.14375181422351235
ETTh1,168,tanh_sin,sin_perturb,0.01,1,tanh,mean,10.21.53.113,10800,3,-0.0488565943004479,0.041602514218539,0.09045910851898689,-0.0368371345102787,0.0487472899258136,0.0855844244360923,0.4290780141843971,0.625,0.19592198581560288,0.0178507259419949,0.0237669764319434,0.0059162504899485,0.0189127940684556,0.0195768624544143,0.0006640683859586993,0.6123468729851709,0.625,0.012653127014829124
ETTh1,168,tanh_sin,sin_perturb,0.01,1,tanh,mean_abs_change,10.21.53.113,10800,3,-0.0434008632796657,-0.1363868154585361,-0.0929859521788704,-0.0328820124268531,-0.1297147423028946,-0.0968327298760415,0.4343971631205673,0.5,0.06560283687943269,0.0174693068940412,0.0238156127743423,0.006346305880301099,0.0195648614317178,0.0244128182530403,0.0048479568213225,0.6239361702127659,0.75,0.12606382978723407
ETTh1,168,tanh_sin,sin_perturb,0.01,1,tanh,skewness,10.21.53.113,10800,3,-0.0538306405318352,-0.0448263317832931,0.009004308748542099,-0.0411817878484725,-0.0382610447704792,0.002920743077993296,0.3944765045342127,0.4360932475884244,0.0416167430542117,0.0118151252376848,0.0168941106085726,0.005078985370887799,0.0143676716834306,0.0188933406025171,0.0045256689190865,0.5867683429513603,0.632636655948553,0.04586831299719274
ETTh1,168,tanh_sin,sin_perturb,0.01,1,tanh,turbulence_score,10.21.53.113,10800,3,-0.0472773537363251,-0.0616346737816004,-0.014357320045275304,-0.0345433838665485,-0.0500844344496727,-0.015541050583124202,0.4179263359591228,0.4429223744292237,0.0249960384701009,0.0137613532946101,0.0060693780896016,-0.007691975205008501,0.0164441615343093,0.0110727492719888,-0.005371412262320501,0.5880349159037683,0.5559360730593608,-0.03209884284440756
ETTh1,168,tanh_sin,sin_perturb,0.01,1,tanh,volatility,10.21.53.113,10800,3,-0.0431739721085263,-0.052254619225132,-0.009080647116605702,-0.0309772919863462,-0.0367722809314727,-0.005794988945126502,0.4010560146923783,0.4363584474885845,0.03530243279620621,0.0050494066390113,0.0164561417376681,0.011406735098656801,0.006846968550235,0.0185368061065673,0.0116898375563323,0.5511937557392103,0.583904109589041,0.03271035384983079
ETTh1,168,tanh_sin,sin_perturb,0.1,1,tanh,anomaly_density_intensity,10.21.53.113,10800,3,-0.137670458902982,-0.1430257392097165,-0.005355280306734517,-0.1162437573075294,-0.0842714831233024,0.03197227418422699,0.3153495440729483,0.3110827211753433,-0.004266822897604994,-0.0180173338696889,0.0076371037878951,0.025654437657584,-0.0123053919523954,0.0024303498212248,0.0147357417736202,0.4181231003039514,0.5614819546470776,0.14335885434312623
ETTh1,168,tanh_sin,sin_perturb,0.1,1,tanh,cv,10.21.53.113,10800,3,-0.1419734006798134,-0.0872172381743027,0.0547561625055107,-0.1134364977478981,-0.070570670068264,0.04286582767963411,0.321345165810369,0.3338694113862978,0.012524245575928794,-0.0161468593870529,-0.0111453529331438,0.005001506453909099,-0.0110026691108942,-0.0117387771606445,-0.0007361080497503003,0.4523587108827651,0.4075265358636217,-0.04483217501914338
ETTh1,168,tanh_sin,sin_perturb,0.1,1,tanh,kurtosis,10.21.53.113,10800,3,-0.1467154144790865,-0.1549676388740918,-0.008252224395005281,-0.1296403557062149,-0.1049453988671302,0.02469495683908471,0.3235867446393762,0.2949181739879414,-0.0286685706514348,-0.0336609042340881,-0.0050013456290061,0.028659558605082,-0.0262840967625379,-0.0053643845021724,0.0209197122603655,0.3235867446393762,0.4928509905254091,0.1692642458860329
ETTh1,168,tanh_sin,sin_perturb,0.1,1,tanh,max_abs_change,10.21.53.113,10800,3,-0.1211742132860633,-0.2352703029284021,-0.11409608964233879,-0.093298427760601,-0.1857305020093917,-0.0924320742487907,0.3111393323657475,0.1933333333333333,-0.11780599903241418,-0.0049036823191002,-0.033857023329862,-0.028953341010761798,-0.005573303438723,-0.0278646275401115,-0.0222913241013885,0.4704281567489115,0.39,-0.08042815674891146
