dataset,pred_len,features,activation,activation_family,amplitude,frequency,phase,lee_type,baseline_activation,mse_mean,mse_std,mae_mean,mae_std,seed_count,server_count,relative_mse_change_mean,win_rate,effect_label,rel_pct
ETTh1,24,M,lee,lee_oc,0.0,1.0,0.0,1,tanh,0.683186948,0.0439260627440094,0.604564831,0.0220969861920225,3,1,0.0065042124333394,0.4,ineffective,0.6504212433339399
ETTh1,24,M,lee,lee_oc,0.0,1.0,0.0,3,tanh,0.7648342333333332,0.0482769005138413,0.6254052666666666,0.0272555267662052,3,1,-0.1395488810614445,0.0,negative,-13.95488810614445
ETTh1,24,M,scaled_tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.7359136233333333,0.0446136745396569,0.6419434333333334,0.0142512977990404,3,1,0.0181065514850597,0.6666666666666666,mixed,1.8106551485059699
ETTh1,24,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.7122067166666667,0.0412086212949527,0.62320732,0.0216956547050601,3,1,0.0460677329643115,0.6666666666666666,effective,4.60677329643115
ETTh1,24,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.6869114344444445,0.0434347973142364,0.6085168822222222,0.0206166186711162,3,1,0.0625615287869343,0.7777777777777778,effective,6.25615287869343
ETTh1,24,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,0.6864824383333333,0.0408002851544566,0.6074245,0.0181111717374365,3,1,-0.0166469356698955,0.1666666666666666,ineffective,-1.6646935669895497
ETTh1,24,M,tanh_sin,sin_perturb,0.05,1.0,0.0,1,tanh,0.6853777933333333,0.0547776698498381,0.6080716383333333,0.0257658019902664,3,1,-0.0129511277438784,0.3333333333333333,ineffective,-1.29511277438784
ETTh1,24,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,0.6910935483333334,0.0410405885284314,0.6098391083333333,0.0180513590784299,3,1,-0.0229210278430751,0.3333333333333333,negative,-2.29210278430751
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,1,tanh,1.0608282,0.061035914699593,0.8248468999999999,0.0284217666900402,6,2,0.00783444749578,0.8333333333333334,ineffective,0.783444749578
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,3,tanh,1.1257603166666668,0.0590403015069,0.8394035666666667,0.0244402681108138,6,2,-0.0540844467955209,0.3333333333333333,negative,-5.40844467955209
ETTh1,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.1399784666666666,0.0787770611562207,0.858637826,0.033438042241528,6,4,,,mixed,
ETTh1,168,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,1.1794004666666666,0.0479822374524503,0.8737608133333333,0.0146107044633218,3,1,-0.0052441836261331,0.3333333333333333,ineffective,-0.52441836261331
ETTh1,168,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,1.1731152333333332,0.0590607011348775,0.8693217333333333,0.024864915885909,3,1,0.0003817574788467,0.3333333333333333,ineffective,0.03817574788467
ETTh1,168,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,1.1830498,0.0561591988878046,0.8758701533333334,0.0202614622850507,3,1,-0.0081237841138503,0.0,ineffective,-0.8123784113850299
ETTh1,168,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,1.1814970666666669,0.0460762421976155,0.8746960566666666,0.0203970357166975,3,1,-0.0071274400883134,0.6666666666666666,ineffective,-0.7127440088313399
ETTh1,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,1.1337326933333334,0.0905260239593112,0.8546464146666667,0.0384773269593768,6,4,0.0060262295121309,0.5333333333333333,ineffective,0.6026229512130901
ETTh1,168,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,1.1301632888888888,0.0831335073113188,0.8535014933333334,0.0347445481849066,4,3,5.46062650939031e-05,0.3333333333333333,ineffective,0.00546062650939031
ETTh2,168,M,lee,lee_oc,0.0,1.0,0.0,1,tanh,3.466888583333333,0.5016067626395458,1.57636545,0.138166168734155,6,2,0.0497370189662494,0.8333333333333334,effective,4.97370189662494
ETTh2,168,M,lee,lee_oc,0.0,1.0,0.0,3,tanh,2.7307934333333335,0.5517795317762799,1.3801577166666668,0.1605360062663877,6,2,0.2207374071015972,0.8333333333333334,strong_effective,22.07374071015972
ETTh2,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,4.012637691666667,0.7079995760178487,1.7203476249999998,0.1818723973313313,6,3,,,mixed,
ETTh2,168,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,5.116498666666667,0.5316269688487628,1.9933934666666664,0.1283337474488036,3,1,-0.051628706432837,0.3333333333333333,negative,-5.1628706432837
ETTh2,168,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,5.1596003999999995,0.5830988688503091,1.9993421333333337,0.134077332729188,3,1,-0.0581201997659986,0.0,negative,-5.81201997659986
