dataset,pred_len,activation,amplitude,lee_type,baseline_activation,factor,sample_count,seed_count,relative_target_mse_change_mean_end_minus_start,target_win_rate_end_minus_start,aggregate_relative_target_mse_change_end_minus_start,relative_target_mse_change_spearman,target_win_spearman,factor_conditioned,aggregate_factor_conditioned,source_host
Solar1,24,tanh,0.0,1,gelu,turbulence_score,83904,3,0.1286342602129927,-0.0238075660010176,-0.0620535761117935,-0.0228236273255246,-0.0255971411645371,True,True,10.20.12.248
Solar1,24,tanh,0.0,1,gelu,volatility,83904,3,0.1118143919835364,-0.0541799700215898,-0.0963020995259285,-0.0440386736697004,-0.042098199524218,True,True,10.20.12.248
Solar1,24,tanh_sin,0.01,1,tanh,turbulence_score,41952,3,-0.0228957735406568,0.01008849773494,-0.0318698305636644,0.0024034346272563,0.0079301862064857,False,False,10.20.12.248
Solar1,24,tanh_sin,0.01,1,tanh,volatility,41952,3,0.0140801811560135,0.0189426739038265,-0.0367322703823447,0.0126391534919305,0.0142469472381853,False,False,10.20.12.248
Solar1,24,tanh_sin,0.05,1,tanh,turbulence_score,41952,3,0.071362990621134,0.025250609595064,-0.0181099690962582,0.0262884215834626,0.0263639595445855,True,False,10.20.12.248
Solar1,24,tanh_sin,0.05,1,tanh,volatility,41952,3,0.0271355039601731,0.0143212252155309,0.0114088542759418,-0.0103475026324078,-0.0018266130790716,False,False,10.20.12.248
Solar1,24,tanh_sin,0.1,1,tanh,turbulence_score,41952,3,-0.2012656931913722,-0.0510348952574198,-0.1942104771733284,-0.0487042321438801,-0.0415540474664206,True,True,10.20.12.248
Solar1,24,tanh_sin,0.1,1,tanh,volatility,41952,3,-0.0880587123306311,-0.0592731533437592,-0.1308512762188911,-0.0470272360757949,-0.0418781218231718,True,True,10.20.12.248
Solar1,96,lee,0.0,1,tanh,turbulence_score,41760,3,0.0124534525147195,0.0315853908738366,0.0177441537380218,0.0121551431643886,0.0133872197297375,False,False,10.20.12.248
Solar1,96,lee,0.0,1,tanh,volatility,41760,3,0.1074112726578336,0.0631239699330487,0.0450019650161266,0.0502152458865657,0.0412423868063301,True,False,10.20.12.248
Solar1,96,lee,0.0,3,tanh,turbulence_score,27840,2,0.1223223064058242,-0.0022963349543571,0.2414733543992042,0.0428722237822641,-0.0035350233974868,True,True,10.20.12.248
Solar1,96,lee,0.0,3,tanh,volatility,27840,2,0.0904482862921562,-0.0268211177285205,0.1432107016444206,0.0126321289255942,-0.0108555947247858,True,True,10.20.12.248
Solar1,96,softsign,0.0,1,gelu,turbulence_score,41760,3,0.1371707487311669,0.0853371864411887,0.2015730291604995,0.0913097965409833,0.0626410375449838,True,True,10.20.12.248
Solar1,96,softsign,0.0,1,gelu,volatility,41760,3,0.0841919925084022,0.0356094697577737,0.1158182099461555,0.0596760525315282,0.0449765800602309,True,True,10.20.12.248
Solar1,96,tanh,0.0,1,gelu,turbulence_score,125280,3,0.1491982274989499,0.0942870397957508,0.2355007119476795,0.0854917859524334,0.0643244673235802,True,True,10.20.12.248
Solar1,96,tanh,0.0,1,gelu,volatility,125280,3,0.099923575608945,0.0635129677343097,0.1419145800173282,0.0694835844089174,0.0631361043405768,True,True,10.20.12.248
Solar1,96,tanh_sin,0.01,1,tanh,turbulence_score,83520,3,-0.0155635592253594,-0.0189738402338228,-0.047462148591876,0.0038316777089918,0.006717337797269,False,False,10.20.12.248
Solar1,96,tanh_sin,0.01,1,tanh,volatility,83520,3,0.0296940492807345,-0.0007715524551374,-0.0300556296715512,-0.0031706451843689,-0.0014454776317503,False,False,10.20.12.248
Solar1,96,tanh_sin,0.05,1,tanh,turbulence_score,83520,3,-0.027959635734677,0.0003136350459221,-0.0385204879567027,0.039222940242152,0.0340970139117521,False,False,10.20.12.248
Solar1,96,tanh_sin,0.05,1,tanh,volatility,83520,3,0.0250458464935066,0.0313649109823905,-0.00171466358006,0.026347121395194,0.022806640014849,False,False,10.20.12.248
Solar1,96,tanh_sin,0.1,1,tanh,turbulence_score,83520,3,-0.0697757573494728,-0.0280835194789251,-0.0762940347194671,-0.0251622038481085,-0.0118175499858416,True,True,10.20.12.248
Solar1,96,tanh_sin,0.1,1,tanh,volatility,83520,3,-0.0265551272687428,-0.0179954300660462,-0.0531253525987267,-0.0226786368162514,-0.013340895524468,False,False,10.20.12.248
Solar5,24,softsign,0.0,1,gelu,turbulence_score,41952,3,0.5021776889346456,0.0265615756926808,0.0574879795312881,0.0306690095620866,0.0143084219349336,True,True,10.20.12.248
Solar5,24,softsign,0.0,1,gelu,volatility,41952,3,0.3304115177868403,-0.003777206884865,-0.010042704641819,0.0088095374592864,0.0009712933762757,True,False,10.20.12.248
Solar5,24,tanh,0.0,1,gelu,turbulence_score,41952,3,0.3287196448091998,-8.2597560401243e-05,0.0239502191543579,0.0016012494395058,-0.0052982810997394,True,True,10.20.12.248
Solar5,24,tanh,0.0,1,gelu,volatility,41952,3,0.1978426928870964,-0.0223239394715532,-0.025391861796379,-0.0106597124828935,-0.0142269066334887,True,False,10.20.12.248
Solar5,96,softsign,0.0,1,gelu,turbulence_score,41760,3,0.1583012236201822,0.0404683900221424,0.0610827654600143,0.0680947866011359,0.0387613901042851,True,True,10.20.12.248
Solar5,96,softsign,0.0,1,gelu,volatility,41760,3,0.1428305380049689,0.0350636934693738,0.0462348908185958,0.0548097300411277,0.0301710246536253,True,False,10.20.12.248
Solar5,96,tanh,0.0,1,gelu,turbulence_score,83520,3,0.2440160167548859,0.0557345479157931,0.0957214497029781,0.0937144116897158,0.0538441762832277,True,True,10.20.12.248
Solar5,96,tanh,0.0,1,gelu,volatility,83520,3,0.2104679400792941,0.060420488886713,0.0908097028732299,0.0802595226394607,0.0437198261442711,True,True,10.20.12.248
Solar5,96,tanh_sin,0.01,1,tanh,turbulence_score,41760,3,0.0867878150340038,0.022201499312839,0.0299430396407842,0.0405387008389121,0.0230464285938799,True,False,10.20.12.248
Solar5,96,tanh_sin,0.01,1,tanh,volatility,41760,3,0.1046526725471077,0.0266017180827944,0.0481964871287345,0.0529887003616466,0.0334372644337214,True,False,10.20.12.248
Solar5,96,tanh_sin,0.05,1,tanh,turbulence_score,41760,3,-0.0088917910639922,0.0113787393730432,-0.0100021865218877,0.0036902040812162,0.0153991413760787,False,False,10.20.12.248
Solar5,96,tanh_sin,0.05,1,tanh,volatility,41760,3,-0.035845799067741,0.0065592073586091,-0.0413188565871678,0.0088835164319444,0.0196983328614178,False,False,10.20.12.248
Solar5,96,tanh_sin,0.1,1,tanh,turbulence_score,41760,3,0.1011779282989979,0.0180053333995421,0.0374957136809825,0.0422894671420819,0.0217281394881305,True,False,10.20.12.248
Solar5,96,tanh_sin,0.1,1,tanh,volatility,41760,3,0.1053525782059126,0.0135850702151373,0.019022099673748,0.0442626618864416,0.0232910852557677,True,False,10.20.12.248
ETTh1,168,lee,0.0,1,tanh,turbulence_score,8112,3,-0.0131424504537929,0.0248410190463495,0.0102546168200206,-0.0736067236392463,-0.0428272379219918,False,False,10.21.53.113
ETTh1,168,lee,0.0,1,tanh,volatility,8112,3,0.0408416260494632,0.1272300173640284,0.0163025786168873,0.0966189826966369,0.0975748877593708,False,False,10.21.53.113
ETTh1,168,lee,0.0,3,tanh,turbulence_score,8112,3,-0.1183562419377911,-0.0568489230069552,-0.0297101736068725,-0.2708944767615837,-0.1974109761539955,True,True,10.21.53.113
ETTh1,168,lee,0.0,3,tanh,volatility,8112,3,0.5345370902000508,0.2714914860247577,0.5374251753091812,0.6062829802496089,0.3098746563025663,True,True,10.21.53.113
ETTh1,168,tanh,0.0,1,gelu,turbulence_score,10800,3,,,,,,False,False,10.21.53.113
ETTh1,168,tanh,0.0,1,gelu,volatility,10800,3,,,,,,False,False,10.21.53.113
