dataset,pred_len,activation,activation_family,amplitude,lee_type,baseline_activation,factor,source_host,sample_count,seed_count,relative_target_mse_change_mean_low,relative_target_mse_change_mean_high,relative_target_mse_change_mean_high_minus_low,aggregate_relative_target_mse_change_low,aggregate_relative_target_mse_change_high,aggregate_relative_target_mse_change_high_minus_low,target_win_rate_low,target_win_rate_high,target_win_rate_high_minus_low,relative_all_mse_change_mean_low,relative_all_mse_change_mean_high,relative_all_mse_change_mean_high_minus_low,aggregate_relative_all_mse_change_low,aggregate_relative_all_mse_change_high,aggregate_relative_all_mse_change_high_minus_low,all_win_rate_low,all_win_rate_high,all_win_rate_high_minus_low
ETTh1,168,lee,lee_oc,0.0,1,tanh,anomaly_density_intensity,10.21.53.113,8112,3,-0.0478216256706724,-0.0133279054220642,0.034493720248608195,-0.0190696269273757,0.0048612733371555,0.0239309002645312,0.4133838383838384,0.5237701529557669,0.11038631457192849,-0.0011610381134,0.0123100460740228,0.0134710841874228,0.0013344873441383,0.014246922917664,0.0129124355735257,0.509090909090909,0.6614303431169904,0.1523394340260814
ETTh1,168,lee,lee_oc,0.0,1,tanh,cv,10.21.53.113,8112,3,-0.0590771830176106,-0.0068410616221729,0.0522361213954377,-0.0215513594448566,-0.0002717296010814,0.021279629843775197,0.3934375,0.5238907849829352,0.13045328498293518,-0.0016046674250072,0.0172697932603766,0.0188744606853838,-0.0005089113255962,0.0176058541983366,0.0181147655239328,0.5253125,0.6710750853242321,0.14576258532423214
ETTh1,168,lee,lee_oc,0.0,1,tanh,kurtosis,10.21.53.113,8112,3,-0.0587197896375721,-0.020826885741615,0.037892903895957106,-0.0269601624459028,-0.0019110649591311,0.0250490974867717,0.391820580474934,0.4799816975520475,0.0881611170771135,-0.0045422114515502,0.0077400101745255,0.012282221626075701,-0.0033619180321693,0.0096949459984898,0.0130568640306591,0.5527704485488126,0.5831617478837795,0.03039129933496687
ETTh1,168,lee,lee_oc,0.0,1,tanh,max_abs_change,10.21.53.113,8112,3,-0.0173623756946007,-0.0892366624062156,-0.0718742867116149,-0.0129372701048851,-0.0224726293236017,-0.009535359218716599,0.4703328509406657,0.3866666666666666,-0.08366618427399908,0.0064309307669603,0.010112762015633,0.0036818312486726996,0.008305755443871,0.0116728264838457,0.0033670710399747,0.5805595754944525,0.6,0.019440424505547504
ETTh1,168,lee,lee_oc,0.0,1,tanh,mean,10.21.53.113,8112,3,-0.0149920113339676,-0.0080872972806294,0.0069047140533381995,-0.0077921622432768,0.0092987045645713,0.0170908668078481,0.495693367786391,0.5,0.004306632213608996,0.007911593352906,0.01671560597606,0.008804012623154002,0.0098204631358385,0.018826637417078,0.009006174281239501,0.5956072351421189,0.6666666666666666,0.07105943152454774
ETTh1,168,lee,lee_oc,0.0,1,tanh,mean_abs_change,10.21.53.113,8112,3,-0.0162233773708957,-0.0015049527088801,0.0147184246620156,-0.0087969833984971,-0.0269792806357145,-0.0181822972372174,0.4732860520094563,0.6666666666666666,0.19338061465721035,0.0065230160094983,0.0284300738324721,0.021907057822973797,0.0090433368459343,0.0294071715325117,0.0203638346865774,0.5784869976359338,0.6666666666666666,0.08817966903073282
ETTh1,168,lee,lee_oc,0.0,1,tanh,skewness,10.21.53.113,8112,3,-0.0238289546109388,0.0067006596462341,0.030529614257172898,-0.0123742436990141,0.0130477081984281,0.025421951897442202,0.4677109095905468,0.5246516613076099,0.05694075171706309,0.0015695520915795,0.0028691221794696,0.0012995700878901003,0.0028100626077502,0.0064260773360729,0.0036160147283227,0.5501511404231931,0.5434083601286174,-0.0067427802945757565
ETTh1,168,lee,lee_oc,0.0,1,tanh,turbulence_score,10.21.53.113,8112,3,-0.0079162387448443,-0.0210586891986372,-0.013142450453792899,-0.0004049641720484,0.0098496526479721,0.0102546168200205,0.4957069261591299,0.5205479452054794,0.0248410190463495,0.0062291526507201,0.0039909816661866,-0.0022381709845335,0.0090390210971236,0.0081114890053868,-0.0009275320917368005,0.5618202633085289,0.5768645357686454,0.015044272460116526
ETTh1,168,lee,lee_oc,0.0,1,tanh,volatility,10.21.53.113,8112,3,-0.0397022277008438,0.0011393983486193,0.0408416260494631,-0.0114642940461635,0.0048382845707237,0.0163025786168872,0.4239063462723352,0.5511363636363636,0.12723001736402845,-0.0002908800764384,0.0110387012496864,0.011329581326124799,0.0012294877087697,0.0134918531402945,0.0122623654315248,0.529882932840419,0.6060606060606061,0.07617767322018709
ETTh1,168,lee,lee_oc,0.0,3,tanh,anomaly_density_intensity,10.21.53.113,8112,3,0.2689134829529109,0.5356193358091256,0.2667058528562147,0.414981335401535,0.6429611444473267,0.22797980904579168,0.7522727272727273,0.902852418354692,0.15057969108196467,-0.1839250771642107,-0.0956344103640892,0.08829066680012149,-0.1342397034168243,-0.0034066610969603,0.130833042319864,0.2926767676767677,0.4803637866887143,0.18768701901194662
