host,jobs,manifest
10.21.53.82,2,.aris/patchtst_queue_20260521_smoke_retry4_4gpu/patchtst_queue_manifest_10_21_53_82.json
10.21.53.113,2,.aris/patchtst_queue_20260521_smoke_retry4_4gpu/patchtst_queue_manifest_10_21_53_113.json
10.21.53.142,2,.aris/patchtst_queue_20260521_smoke_retry4_4gpu/patchtst_queue_manifest_10_21_53_142.json
10.21.53.162,2,.aris/patchtst_queue_20260521_smoke_retry4_4gpu/patchtst_queue_manifest_10_21_53_162.json
