action,target,n,mean_uplift,median_uplift,positive_rate,min,max
oracle_gain_vs_gelu,oracle_gain_vs_gelu,9,0.024035504463226345,0.02059202609431526,1.0,0.0026294205080345523,0.04870810214188847
placement_all_tanh_vs_best_split,gain_alltanh_vs_best_split,9,-0.12849767731878436,-0.08903747388002622,0.3333333333333333,-0.45359169864335763,0.12548543347989194
placement_decoder_tanh_vs_gelu,gain_enc_gelu_dec_tanh_vs_gelu,9,-0.004085260911053611,0.007583739654931813,0.8888888888888888,-0.12477278407830826,0.03456457725671016
placement_encoder_tanh_vs_gelu,gain_enc_tanh_dec_gelu_vs_gelu,9,-0.12351031609224163,-0.10853791478604927,0.3333333333333333,-0.32080647515926863,0.04013335431990009
placement_output_tanh_vs_tanh,gain_outtanh_vs_tanh,9,-0.04678131897505056,-0.030974965351492023,0.3333333333333333,-0.23788630310494926,0.030774644473547278
regime_softsign_vs_gelu,gain_softsign_all_vs_gelu,9,-0.12714663915101776,-0.06063594407067785,0.3333333333333333,-0.4948052687398383,0.028722801484444956
regime_tanh_sin_vs_gelu,gain_tanh_sin001_all_vs_gelu,9,-0.11119379614786123,-0.05112132166548884,0.4444444444444444,-0.42203526591931256,0.04870810214188847
regime_tanh_vs_gelu,gain_tanh_all_vs_gelu,9,-0.11901814782161968,-0.051395353978647584,0.4444444444444444,-0.43382713961213815,0.0416239377424513
