dataset,pred_len,oracle_config,oracle_gain_vs_gelu,input_volatility,input_mean_abs_change,input_lag1_autocorr,input_spectral_entropy,input_high_freq_energy_ratio,input_low_freq_energy_ratio,router_time_local_roughness_ratio,router_time_trend_to_noise_ratio,router_freq_spectral_entropy,router_freq_high_freq_noise_share,router_freq_seasonal_peak_strength,router_timefreq_burstiness_index,router_multivar_cross_channel_mean_abs_corr,router_norm_normalization_drift_score,pred_to_seq_ratio
Exchange,96,enc_gelu_dec_tanh,0.03456457725671016,0.0,0.0,0.0,0.0,0.0,0.0,0.24245154772868338,3.4061303464434856,0.45045290614037364,0.031276545944598624,0.0,3.6850084419123164,0.5026317227734328,2.2471978706734914,1.0
Exchange,192,enc_gelu_dec_tanh,0.014444955181383286,0.0,0.0,0.0,0.0,0.0,0.0,0.2421575940338646,3.416498837122651,0.45049807062222647,0.031133466161853245,0.0,3.6986030498417435,0.5045911936802594,2.2926735220817203,2.0
Exchange,336,enc_gelu_dec_tanh,0.007583739654931813,0.0,0.0,0.0,0.0,0.0,0.0,0.2353325085821768,3.549468238397819,0.44622396534466013,0.030287244377680746,0.0,3.8062161405520065,0.4971814424374933,2.4101576136821814,3.5
ILI,24,tanh_sin001_all,0.02059202609431526,0.0,0.0,0.0,0.0,0.0,0.0,0.3189083285589343,2.9856655522528466,0.41818526918462945,0.0588073195286595,0.0,3.7213100564125265,0.8240323133765397,2.6518234251858233,0.6666666666666666
ILI,36,enc_tanh_dec_gelu,0.04013335431990009,0.0,0.0,0.0,0.0,0.0,0.0,0.32721558444888044,3.1515522648331085,0.4254153713448783,0.06275445655418732,0.0,3.680797263236007,0.8359088272646226,2.606748295932966,1.0
ILI,48,tanh_all,0.0340663149945503,0.0,0.0,0.0,0.0,0.0,0.0,0.3334056388460193,3.2006700055014967,0.43242957963104833,0.0664594460455802,0.0,3.525526851660988,0.8451113204062815,2.5374414916611645,1.3333333333333333
Weather,96,tanh_sin001_all,0.04870810214188847,0.018873523909993795,1.1569589257927089,0.1461896206732654,0.3392067630068098,0.015627502987366204,0.9508589313683354,0.17632747187743536,3.7401519766927365,0.36261416718596295,0.020898078548419696,0.7563533134190517,4.259600217248858,0.5390825404739044,1.0479706126376285,1.0
Weather,192,enc_gelu_dec_tanh,0.0026294205080345523,0.01897539873420747,1.1593822393300588,0.14645024952509836,0.33782725757188614,0.01558366017588814,0.9511206991895474,0.17519594037275266,3.762387333870837,0.36142829559189005,0.021144347010484427,0.7585999965415176,4.3192363421125854,0.5384657416920542,1.048081355766911,2.0
Weather,336,enc_gelu_dec_tanh,0.013597050017323163,0.019067752004574848,1.1614912087128906,0.14851656579076958,0.3358799695030777,0.01543582815629946,0.9515997374019354,0.1739451239610314,3.776498225722964,0.3599539573688044,0.020926355724856197,0.7605460544041867,4.288464830138194,0.5385172146884867,1.0482725609505814,3.5
