action,target,mean_policy_uplift,fire_rate,precision_if_fire,always_fire_mean_uplift,positive_rate,features_used
regime_tanh_vs_gelu,gain_tanh_all_vs_gelu,-0.05187108107877087,0.3333333333333333,0.0,-0.11901814782161968,0.4444444444444444,input_volatility;abstain;input_anomaly_density_intensity
regime_softsign_vs_gelu,gain_softsign_all_vs_gelu,-0.04635291320867781,0.3333333333333333,0.0,-0.12714663915101776,0.3333333333333333,input_volatility;abstain;input_anomaly_density_intensity
regime_tanh_sin_vs_gelu,gain_tanh_sin001_all_vs_gelu,-0.05165496006111985,0.3333333333333333,0.0,-0.11119379614786123,0.4444444444444444,input_volatility;abstain;input_anomaly_density_intensity
placement_encoder_tanh_vs_gelu,gain_enc_tanh_dec_gelu_vs_gelu,-0.06345607479987136,0.3333333333333333,0.0,-0.12351031609224163,0.3333333333333333,input_volatility;abstain;input_anomaly_density_intensity
placement_decoder_tanh_vs_gelu,gain_enc_gelu_dec_tanh_vs_gelu,0.007975440594829783,0.6666666666666666,1.0,-0.004085260911053611,0.8888888888888888,input_anomaly_density_intensity;input_turbulence_score
placement_output_tanh_vs_tanh,gain_outtanh_vs_tanh,0.0,0.0,,-0.04678131897505056,0.3333333333333333,input_volatility;abstain
placement_all_tanh_vs_best_split,gain_alltanh_vs_best_split,-0.05830089126642833,0.6666666666666666,0.3333333333333333,-0.12849767731878436,0.3333333333333333,input_volatility;router_freq_dominant_period_to_horizon_ratio;input_anomaly_density_intensity
oracle_gain_vs_gelu,oracle_gain_vs_gelu,0.016820551944643432,0.6666666666666666,1.0,0.024035504463226345,1.0,input_volatility;input_anomaly_density_intensity
