model_scope,target_kind,abstain,feature,train_gain_vs_static,train_regret_vs_oracle,fold,eval_name,feature_set,variant
iTransformer-stage1,config,True,input_cv,0.00019697431537109086,0.00012585218615155267,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_volatility,0.012646452351040161,0.03152274403329308,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_anomaly_density_intensity,0.013312035847303621,0.030831893624580775,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_turbulence_score,0.01082387425629869,0.033387617420613025,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_mean,0.006383298950874229,0.039709521626756936,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_std,-0.0011482589216875454,0.04755263919050453,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_cv,0.005000538787536929,0.04112494682782519,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_volatility,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_anomaly_density_intensity,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_turbulence_score,0.002060127882957176,0.0017559841549969583,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_mean,0.0006143253585507604,0.003211074881508836,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_std,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_cv,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_cv,0.00019697431537109086,0.00012585218615155267,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_volatility,0.012879930312017254,0.03127536821077839,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
