dataset,pred_len,input_volatility,input_anomaly_density_intensity,input_turbulence_score,input_mean,input_std,input_cv,input_trend,input_range,input_mean_abs_change,input_max_abs_change,input_skewness,input_kurtosis,input_realized_volatility,input_volatility_shock,input_volatility_ratio_late_early,input_upside_volatility,input_downside_volatility,input_cumulative_change,input_momentum,input_trend_consistency,input_reversal_rate,input_mean_crossing_rate,input_lag1_autocorr,input_mean_reversion_strength,input_jump_intensity,input_tail_ratio,input_max_drawdown,input_max_drawup,input_direction_entropy,input_spectral_entropy,input_dominant_frequency_energy_ratio,input_top3_frequency_energy_ratio,input_low_freq_energy_ratio,input_mid_freq_energy_ratio,input_high_freq_energy_ratio,input_spectral_centroid,input_spectral_bandwidth,input_spectral_flatness,input_daily_cycle_energy_ratio,router_time_robust_scale_ratio,router_time_iqr_mad_ratio,router_time_outlier_mass_z3,router_time_late_early_level_shift,router_time_local_roughness_ratio,router_time_trend_to_noise_ratio,router_time_dynamic_range_log,router_time_near_zero_fraction,router_norm_normalization_drift_score,router_freq_seasonal_peak_strength,router_freq_harmonic_energy_ratio,router_freq_spectral_entropy,router_freq_high_freq_noise_share,router_freq_dominant_period_to_horizon_ratio,router_timefreq_rolling_spectral_entropy_std,router_timefreq_dominant_frequency_drift,router_timefreq_burstiness_index,router_timefreq_phase_concentration,router_multivar_cross_channel_mean_abs_corr,router_multivar_correlation_condition_number,router_multivar_channel_heterogeneity_cv,router_multivar_target_channel_dominance,router_multivar_missing_or_constant_channel_ratio,seq_len,label_len,e_layers,d_layers,factor,test_sample_count,router_window_count,router_source_csv
ETTh1,24,0.19450011397389774,0.05189112622885609,0.47676787399258463,4.942342432968587,0.9380593611006467,0.7967070539619212,0.03638273360554349,3.3144402045371057,0.4238279032446448,1.469865449093671,0.052067950772537945,-0.4820655090314506,0.5655058992349747,-0.07290739324565433,1.1711319596204124,0.6024434902029044,0.575204642589604,0.003010501106065463,-0.5904376841164458,0.561348826616408,0.5060672842892062,0.17024546879517968,-0.07334833498534207,0.2974779471437097,0.02095793195456861,3.2872975141412897,2.4217398244926276,2.854055772816171,0.7700027802659313,0.49505784642811856,0.6072463343843816,0.8127203309187838,0.7102767716324598,0.16349073177538254,0.10103123652915393,0.10243209586095345,0.09612274409464534,0.2472179947127972,0.5536483989824619,455498.11811782216,101638.16180872964,0.03969319661458333,1.509279313883097,0.38024859189899535,2.408237817497708,1.979374683735432,0.028361002604166664,2.2694042766175944,0.7573222881860888,0.9105955413898633,0.501262256113161,0.06493995424449228,1.5558128713755546,0.14691416531616514,0.0224609375,4.882130742207674,0.4048655509385895,0.38347070622459467,8.032926353971472,1.0087117527785767,0.28872709600625185,0.0,48,48,2,1,3,2857,1024,lee_ocil/ETT-small/ETTh1.csv
ETTh1,48,0.19139180718884963,0.052330726309863,0.4762040077084149,5.016625589500904,0.9393915147402482,0.7993992669352733,0.0374753958103316,3.3192066559028257,0.4239943586993661,1.4676586356762227,0.04836716546626924,-0.4925670120374248,0.565342652693854,-0.0772970314492351,1.1757083223765705,0.6028348290959933,0.5750463062436096,0.012530040873515058,-0.6058408816017281,0.5605376450629983,0.506437825258688,0.17006169523780362,-0.07459385316516239,0.2978724591761719,0.020410841173130218,3.2768761495375056,2.412460382164387,2.866482745094683,0.7709447338651103,0.4935194622847563,0.6081647365370012,0.8131259962157775,0.7106245853731877,0.16310611900680097,0.10085454094299018,0.10216775838083601,0.09595888658227365,0.24593498824464838,0.5570878626988284,1.5658769488933995,2.158439279836334,0.016845703125,1.2999355441302094,0.30962215038998286,2.067390475630889,1.9598025825797465,0.028594970703124997,2.231715310046323,0.27203217325585843,0.3647989663891143,0.4770945131863569,0.03998474887765992,1.4863281246903486,0.13486389476616267,0.01123046875,3.710320823459903,0.5955377875956446,0.3419645845988373,7.9614864505289,1.0098214763454048,0.3043963199292366,0.0,96,48,2,1,5,2833,1024,lee_ocil/ETT-small/ETTh1.csv
ETTh1,168,0.18297380374399383,0.05462914640829907,0.47654860991231107,5.125160193673245,0.9429838822325368,0.8226150396059997,0.03876540222715403,3.326679626871772,0.4245225421963841,1.4730715818130777,0.03718959583213317,-0.5301224994988315,0.5660597484611734,-0.08347946571214332,1.1914711187000413,0.6054258542925547,0.5750905087835264,0.020553359752908833,-0.6568264348373476,0.5596111437749974,0.5035264089417288,0.1693759973259651,-0.07456067740901637,0.2977905262893696,0.020483959220958085,3.265309712761883,2.414834316010743,2.8997229335016628,0.7677020980462613,0.4892894345066513,0.610509326015699,0.8143407668311049,0.713516659478979,0.1606778808623796,0.09926657281750613,0.10125002316099307,0.0952332931137421,0.2417808990737841,0.5607221859269605,1.5025886247820224,2.081463368933634,0.011247907366071428,1.1305852019227924,0.2715870834785815,1.8381261563352569,1.9741227822166085,0.029825846354166668,2.2013173564132975,0.17184772922955327,0.22080331157097452,0.4717037565085974,0.029915914559550803,0.7243303570997423,0.10433932988846893,0.010067894345238096,3.01552406057758,0.4255115709365376,0.3185578589613366,7.904980958161071,1.0040050364680313,0.3379067780995656,0.0,168,168,2,1,5,2713,1024,lee_ocil/ETT-small/ETTh1.csv
ETTh1,336,0.17243784547995825,0.058235314029750636,0.4789390147878793,5.246275009456664,0.9448811110524155,0.8575499339802937,0.03907318070305446,3.3426497679336533,0.4233469772455448,1.4725977823159149,0.03859385961411001,-0.5064808449479549,0.5648184570322766,-0.08869566949624098,1.1997763798254428,0.6042316418922528,0.5746337704277038,0.01559234290704478,-0.6651952137028339,0.5599543344222024,0.5028119206520205,0.16856337478187713,-0.07368745445792269,0.29794096760448213,0.020402323396258526,3.2603240087456915,2.4292838783719852,2.9084228966750025,0.766772727481696,0.4867079493064265,0.6114249468224354,0.8146418752355762,0.7150904940273074,0.16017648376686963,0.09757192200935924,0.10035851591266247,0.09468059762049068,0.24065896578749127,0.5656547405709547,1.5038634000630138,2.084987569105563,0.011904761904761906,1.1643705397497885,0.2637978447245728,1.9130508954026184,1.9737689322755918,0.03125581287202381,2.1828408292099573,0.17391227166800327,0.22037201071466195,0.4622795234808891,0.028340414994863224,0.37193080356035924,0.10256792689611444,0.010137648809523808,3.01698878492809,0.42211002696491823,0.3199856078681558,7.840269740294717,0.9904692576631478,0.3567786881991942,0.0,168,168,2,1,5,2545,1024,lee_ocil/ETT-small/ETTh1.csv
ETTh1,720,0.15158845211723007,0.06215379245725293,0.4943643298356191,5.9523599031957914,0.9829565252465134,0.795052701657987,0.045962236824213624,3.460947510402616,0.4318568463633858,1.5220508706994957,0.048368253210576084,-0.49701541479377515,0.5766718423678837,-0.0877414196945408,1.2075156516012115,0.6188585002457763,0.5769467373515411,0.020846604040144434,-0.8288025948461021,0.5616296204897132,0.5025932083144269,0.1628013255882805,-0.056968614771043355,0.2829914748098904,0.020801369659587315,3.1923784881095303,2.47893774219504,3.0230013594750105,0.766237330223607,0.47370496776079657,0.6282488732732279,0.8265162419139351,0.7313745106301424,0.15091377422342092,0.09549977622926888,0.09861217818011893,0.09319980663702618,0.22783422483875695,0.5779605618528346,1.4906127391401631,2.0218789684206824,0.007216680617559523,1.063089718492658,0.22795286471599763,1.618917926058538,1.9938244221922463,0.020176478794642853,2.0909404225483357,0.12623049080716925,0.1487927602588292,0.45461804713606124,0.01976050018352743,0.34259982638413056,0.09416635709669406,0.01329403831845238,3.0706373188284704,0.43831731098868937,0.29433690716047844,7.941553589585253,1.0106111363201395,0.26888007858335095,0.0,336,336,2,1,5,2161,1024,lee_ocil/ETT-small/ETTh1.csv
ETTh2,24,0.2314992480693776,0.017317668026220253,0.7134544644132335,14.558768738777312,3.4117343756856187,0.27459237744807924,0.2393103104080388,10.53598319116961,0.8713795102584196,2.521040063159717,0.2204074092823538,-1.0157787683613662,1.1170706175971377,-0.05347496958916748,1.0244386744959564,1.6663832336699012,0.8327451621055589,0.29122004199091994,-3.4490773589646375,0.6488382016132078,0.12273361451335296,0.08147037786672004,0.7398420969655631,0.08147037786672004,0.03385785231290546,2285045.071817358,7.221767122138272,10.103030790986125,0.7630217065580809,0.25280428627622514,0.7739448224552787,0.9401691984249739,0.9164957187428996,0.04265824253322807,0.01564477866086338,0.05823463179821108,0.038984263680120125,0.07432104235893298,0.7500687779802121,6392541.202818243,2531801.8850582335,0.031840006510416664,1.1275764110277544,0.2240190027048852,1.6297217725462234,1.8953619151267624,0.0009969075520833333,1.9397197381275004,0.853461160855958,0.9870296558835812,0.32101786988100134,0.00793393867891482,1.1953124995019533,0.18105038610650198,0.0030517578125,5.738165241466376,0.4236499845708165,0.36167137485034684,6.47039208678181,0.7201860842092576,1.8222375078983912,0.042550223214285726,48,48,2,1,5,2857,1024,lee_ocil/ETT-small/ETTh2.csv
ETTh2,48,0.2312079986457249,0.017338841316565778,0.7211922581818053,14.677956845184706,3.448015453462364,0.275997445597688,0.2430489455476758,10.635026351462141,0.8803282176568811,2.5492650024637586,0.22096824103255835,-1.0200867933968591,1.1281985290630556,-0.04112746901157245,1.0179672644427413,1.6868017206268557,0.836006625315769,0.3124821574369,-3.511659680479961,0.6483159936872435,0.12194981495164567,0.08179990484814136,0.742530075762497,0.08179990484814136,0.035155542595804064,2177708.73532568,7.297886776730571,10.217063852674414,0.7600306070828763,0.25075182335919216,0.7755911441653586,0.9405678922032349,0.9172288683419729,0.042030537564013024,0.015325839416987633,0.057985945116929644,0.038565201724257536,0.07292561804345972,0.7517310652478724,1.561080685359861,2.121858256293615,0.019053141276041664,0.8186487294462733,0.207152017450753,1.2454052186661002,1.9490965473224375,0.0009663899739583333,1.898141335844446,0.6093946346794654,0.7245259459282714,0.35282980689584303,0.004225767941292157,0.7442057290116239,0.1057518982733898,0.005208333333333333,3.756135042541108,0.857814436728224,0.33998014315622116,6.514117022880595,0.6997849156995966,1.7881703147500119,0.011858258928571435,96,96,2,1,5,2833,1024,lee_ocil/ETT-small/ETTh2.csv
ETTh2,168,0.20337750208924374,0.015433518590318183,0.6994797231706745,15.380278471064868,3.3310031580409367,0.2569226703591692,0.2298703339398329,10.282335304629056,0.857077500937508,2.490559325572985,0.22205258937331773,-1.0102043923971855,1.0993595297027607,-0.06176205256207878,1.0104019368113153,1.6420467680808724,0.8257750120144861,0.2205431757134296,-3.426400120983593,0.6445313001549251,0.12285444269338046,0.08231534540770336,0.7374662642090472,0.08231534540770336,0.03212765161834854,2274031.833463344,7.182127022520177,9.900513412182457,0.7694021878457141,0.2528651461941329,0.7727607716069,0.9403571121436736,0.9169771242816606,0.04179815931287347,0.015251009561868764,0.05799132569592152,0.038755355805085434,0.07200079410673313,0.7488370985682437,1.5120115408637536,2.0719621946218494,0.008515857514880952,0.873230880301266,0.1779777786643883,1.3587899690309264,2.0031229406311075,0.0009620303199404759,1.789439328621101,0.4354554671579251,0.5075577154184299,0.3984007008805063,0.0017277753816643815,0.6049572172258953,0.056541878661388725,0.012945265997023806,2.1935709294758867,0.4130694427970306,0.3322986430824958,6.53384661290482,0.6650913410058861,1.6569625636794671,0.0,336,336,3,2,5,2713,1024,lee_ocil/ETT-small/ETTh2.csv
ETTh2,336,0.19052975231085034,0.01584552335033407,0.6952400698646459,15.93466765714747,3.3095359123443004,0.23845341014552335,0.22605371826651813,10.214515440523797,0.851182526267438,2.468329822709757,0.2184458487256993,-1.0100644782453612,1.0916766960585913,-0.07656637986012405,1.0062159882621085,1.6234536701342912,0.827026214604227,0.18776344032079711,-3.4032151593253284,0.6452455422502269,0.12453057125061766,0.08228312731088912,0.7376215573704783,0.08228312731088912,0.029783401871895897,2342886.977013583,7.167794160322854,9.816947797280454,0.777529434777741,0.2555520393009191,0.7732766459177887,0.9420265969373782,0.9182939059457478,0.042681550311555794,0.0157501495056264,0.05846747692153008,0.03926463600932532,0.07401675054076602,0.7485237131791191,1.5036576141587457,2.056982870958577,0.007024855840773809,0.845367780628687,0.17672236002158376,1.334270340487239,2.003497319253368,0.0004650297619047618,1.7415911492062917,0.4309676699226939,0.5015096629948476,0.39670841261034917,0.001686170159905629,0.3172433035619868,0.057691389754214256,0.01362537202380952,2.242864170320537,0.4100770653522184,0.3233107341905791,6.42422899259973,0.6643877639350042,1.7194651482876333,0.0,336,168,3,2,5,2545,1024,lee_ocil/ETT-small/ETTh2.csv
ETTh2,720,0.1738396658393821,0.01793317554372389,0.7216783906787059,18.56037384898713,3.4669663077157273,0.20859258648991452,0.2391615806329046,10.699031867622875,0.8923373915033566,2.553763012022853,0.2279161033055008,-1.0170580897741686,1.139167110581739,-0.04257542990209011,1.0213716922834701,1.6738354132285909,0.8708025582075971,0.22101909434680364,-3.6874240230291,0.6483836133314754,0.12300305609793315,0.08288811886693048,0.753353319036191,0.08288811886693048,0.030153347442950888,2123020.2024006224,7.5888852304912175,10.308546354550133,0.7749606683776332,0.2491514573929363,0.784393498403086,0.9476877222729351,0.9242187826546451,0.04202248846695542,0.014760156930921751,0.057753094508808694,0.03787194213308803,0.0702425912387202,0.7634285090011543,1.4799715875972244,2.0330558849434186,0.004833984374999999,0.8414817268515158,0.17089030625467866,1.1717334683651268,2.0113786427972764,0.0,1.4749840625122745,0.3722033897904349,0.42940745292171,0.4241068756336476,0.0011766819408029218,0.1017252604152538,0.0501017790400249,0.01696234809027778,1.933168450771093,0.4520884301272212,0.3123071910606423,6.130701770317289,0.6678131303189667,1.827402825691099,0.0,720,336,3,2,5,2161,1024,lee_ocil/ETT-small/ETTh2.csv
