target,feature,feature_group,n,spearman,pearson,abs_spearman
gain_tanh_all_vs_gelu,router_timefreq_rolling_spectral_entropy_std,timefreq,36,-0.6332046332046333,-0.6333024443704078,0.6332046332046333
oracle_gain_vs_gelu,input_volatility_ratio_late_early,input,36,-0.6331166754856722,-0.1976845330904746,0.6331166754856722
gain_tanh_sin001_all_vs_gelu,router_time_late_early_level_shift,time,36,-0.6311454311454311,-0.10284073078935348,0.6311454311454311
static_gain_vs_gelu,router_time_late_early_level_shift,time,36,-0.6311454311454311,-0.10284073078935348,0.6311454311454311
gain_softsign_all_vs_gelu,input_kurtosis,input,36,-0.6298584298584299,-0.5241989694249019,0.6298584298584299
gain_outtanh_vs_tanh,router_time_robust_scale_ratio,time,36,-0.6270270270270271,-0.13746692421223075,0.6270270270270271
gain_tanh_sin001_all_vs_gelu,router_timefreq_rolling_spectral_entropy_std,timefreq,36,-0.6216216216216217,-0.6124026041365935,0.6216216216216217
static_gain_vs_gelu,router_timefreq_rolling_spectral_entropy_std,timefreq,36,-0.6216216216216217,-0.6124026041365935,0.6216216216216217
gain_best_bounded_vs_gelu,input_kurtosis,input,36,-0.6185328185328186,-0.5137572938149824,0.6185328185328186
gain_tanh_sin001_all_vs_gelu,input_kurtosis,input,36,-0.6151866151866151,-0.5342585441052136,0.6151866151866151
static_gain_vs_gelu,input_kurtosis,input,36,-0.6151866151866151,-0.5342585441052136,0.6151866151866151
gain_tanh_all_vs_gelu,router_time_late_early_level_shift,time,36,-0.6144144144144145,-0.10106353016309785,0.6144144144144145
gain_outtanh_vs_tanh,router_freq_seasonal_peak_strength,freq,36,-0.6141570141570141,-0.5180860687335133,0.6141570141570141
gain_tanh_all_outtanh_vs_gelu,input_volatility,input,36,-0.6133848133848134,-0.5076143611301972,0.6133848133848134
gain_tanh_sin001_all_vs_gelu,input_volatility_ratio_late_early,input,36,-0.6120978120978121,-0.1765322334504606,0.6120978120978121
static_gain_vs_gelu,input_volatility_ratio_late_early,input,36,-0.6120978120978121,-0.1765322334504606,0.6120978120978121
oracle_gain_vs_gelu,router_time_dynamic_range_log,time,36,-0.6120084960224378,-0.20774717936890216,0.6120084960224378
gain_tanh_all_vs_gelu,input_volatility_ratio_late_early,input,36,-0.6115830115830116,-0.1908613377851323,0.6115830115830116
gain_tanh_all_outtanh_vs_gelu,input_cv,input,36,-0.6048906048906049,-0.3779021955940553,0.6048906048906049
gain_tanh_all_outtanh_vs_gelu,input_volatility_ratio_late_early,input,36,-0.5992277992277991,-0.2757731804347424,0.5992277992277991
oracle_gain_vs_gelu,input_kurtosis,input,36,-0.5981079875954297,-0.46451409408871025,0.5981079875954297
gain_softsign_all_vs_gelu,input_volatility_ratio_late_early,input,36,-0.5922779922779924,-0.1616019399174621,0.5922779922779924
oracle_gain_vs_gelu,router_timefreq_burstiness_index,timefreq,36,-0.5903854829137585,-0.4825707927298788,0.5903854829137585
gain_best_bounded_vs_gelu,input_max_abs_change,input,36,-0.58996138996139,-0.38755784451036496,0.58996138996139
gain_best_bounded_vs_gelu,router_timefreq_burstiness_index,timefreq,36,-0.58996138996139,-0.5012962929016002,0.58996138996139
oracle_gain_vs_gelu,router_time_iqr_mad_ratio,time,36,-0.5890983988001467,-0.3850995322530792,0.5890983988001467
gain_tanh_all_outtanh_vs_gelu,input_jump_intensity,input,36,-0.5871299871299871,-0.3854638266070791,0.5871299871299871
gain_tanh_all_vs_gelu,input_kurtosis,input,36,-0.5781209781209781,-0.5155571032523031,0.5781209781209781
gain_outtanh_vs_tanh,router_timefreq_rolling_spectral_entropy_std,timefreq,36,-0.5778635778635779,-0.34885459973263544,0.5778635778635779
gain_outtanh_vs_tanh,router_time_outlier_mass_z3,time,36,-0.5752895752895753,-0.3468882762169669,0.5752895752895753
gain_tanh_all_outtanh_vs_gelu,input_max_abs_change,input,36,-0.5711711711711712,-0.4268643051259126,0.5711711711711712
gain_tanh_all_outtanh_vs_gelu,input_max_drawdown,input,36,-0.5698841698841699,-0.47834150263632824,0.5698841698841699
oracle_gain_vs_gelu,input_max_abs_change,input,36,-0.5692773034505241,-0.38297010215214494,0.5692773034505241
gain_softsign_all_vs_gelu,router_timefreq_burstiness_index,timefreq,36,-0.5691119691119692,-0.480767898220683,0.5691119691119692
gain_tanh_all_outtanh_vs_gelu,input_downside_volatility,input,36,-0.5678249678249678,-0.39474297744965886,0.5678249678249678
gain_tanh_all_outtanh_vs_gelu,input_range,input,36,-0.5642213642213643,-0.47027162663015737,0.5642213642213643
gain_tanh_all_vs_gelu,input_direction_entropy,input,36,-0.5634491634491634,-0.3370438324693717,0.5634491634491634
gain_tanh_all_outtanh_vs_gelu,router_freq_spectral_entropy,freq,36,0.5631917631917632,0.5049141959844097,0.5631917631917632
gain_outtanh_vs_tanh,input_volatility,input,36,-0.5613899613899613,-0.34720301122987746,0.5613899613899613
gain_best_bounded_vs_gelu,router_time_outlier_mass_z3,time,36,-0.5580437580437582,-0.549751955722922,0.5580437580437582
gain_softsign_all_vs_gelu,input_direction_entropy,input,36,-0.5575289575289576,-0.29540784413917826,0.5575289575289576
gain_tanh_sin001_all_vs_gelu,router_timefreq_burstiness_index,timefreq,36,-0.5572715572715573,-0.4916924799037022,0.5572715572715573
static_gain_vs_gelu,router_timefreq_burstiness_index,timefreq,36,-0.5572715572715573,-0.4916924799037022,0.5572715572715573
gain_tanh_all_outtanh_vs_gelu,input_max_drawup,input,36,-0.5567567567567568,-0.47148428604895215,0.5567567567567568
gain_outtanh_vs_tanh,input_jump_intensity,input,36,-0.5544401544401545,-0.3778283409746535,0.5544401544401545
gain_outtanh_vs_tanh,router_freq_spectral_entropy,freq,36,0.5541827541827542,0.5049060413519131,0.5541827541827542
gain_tanh_all_outtanh_vs_gelu,input_std,input,36,-0.5528957528957529,-0.47982052375954454,0.5528957528957529
gain_softsign_all_vs_gelu,input_trend_consistency,input,36,0.5523809523809524,0.7166496349227086,0.5523809523809524
oracle_gain_vs_gelu,router_time_trend_to_noise_ratio,time,36,-0.5507432922145135,-0.5738566323859482,0.5507432922145135
oracle_gain_vs_gelu,router_multivar_cross_channel_mean_abs_corr,multivar,36,-0.5479117071645673,-0.5192259064590631,0.5479117071645673
gain_best_bounded_vs_gelu,input_direction_entropy,input,36,-0.545945945945946,-0.3200502644023538,0.545945945945946
gain_tanh_sin001_all_vs_gelu,input_trend_consistency,input,36,0.5423423423423424,0.7256844114956519,0.5423423423423424
static_gain_vs_gelu,input_trend_consistency,input,36,0.5423423423423424,0.7256844114956519,0.5423423423423424
gain_tanh_all_outtanh_vs_gelu,router_multivar_target_channel_dominance,multivar,36,0.5415701415701416,0.3250001742033525,0.5415701415701416
gain_tanh_all_outtanh_vs_gelu,input_kurtosis,input,36,-0.5410553410553411,-0.3191565129149796,0.5410553410553411
gain_tanh_all_outtanh_vs_gelu,input_turbulence_score,input,36,-0.5395109395109395,-0.477093795763656,0.5395109395109395
oracle_gain_vs_gelu,router_freq_seasonal_peak_strength,freq,36,-0.5376150342556725,-0.2676400858034289,0.5376150342556725
