config_name,rank_in_cell
tanh_sin001_all,2.7777777777777777
tanh_all,3.1944444444444446
softsign_all,3.4722222222222223
enc_tanh_dec_gelu,4.833333333333333
swish_all,4.888888888888889
enc_gelu_dec_tanh,5.666666666666667
gelu_all,6.222222222222222
relu_all,6.833333333333333
tanh_all_outtanh,7.111111111111111
