setting,dataset,pred_len,activation,activation_family,amplitude,frequency,phase,lee_type,features,target,seed,server_id,server_ip,des,mse,mae,rmse,mape,mspe,relative_mse_change,win_against_baseline,run_id,encoder_activation,decoder_activation,output_activation,activation_signature,seq_len,label_len,d_model,n_heads,e_layers,d_layers,d_ff,factor,dropout,attn,embed,batch_size,train_epochs
informer_ETTh1_tanh_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033215,ETTh1,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2027,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033215,1.2306066,0.8910508,1.1093271,15.341641,71375.086,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033215,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033215,ETTh1,168,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,OT,2027,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033215,1.2383991,0.8914336,1.1128339,14.891111,66506.95,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033215,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033215,ETTh1,168,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,OT,2027,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033215,1.2354501,0.895809,1.111508,15.2089205,68847.68,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033215,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2027,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,0.9686382,0.78154594,0.98419416,14.262718,67344.805,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,OT,2027,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,0.97805387,0.78334725,0.98896605,13.663615,60552.062,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,OT,2027,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,0.9722779,0.7830785,0.98604155,13.666488,61255.957,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_lee_a0_lee1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,lee,lee_oc,0.0,1.0,0.0,1,M,OT,2027,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,0.9663595,0.78096026,0.98303586,14.771671,71405.37,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_lee_a0_lee3_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,lee,lee_oc,0.0,1.0,0.0,3,M,OT,2027,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,1.0786991,0.8140913,1.0386044,11.737358,43329.49,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2028,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,1.0474336,0.8205059,1.023442,14.720106,69118.06,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,OT,2028,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,0.98607683,0.79175895,0.99301404,13.636957,60395.805,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,OT,2028,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,1.0672594,0.8273945,1.0330825,13.862667,61296.207,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_lee_a0_lee1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,lee,lee_oc,0.0,1.0,0.0,1,M,OT,2028,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,1.0385159,0.8190941,1.019076,14.894188,69823.01,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_lee_a0_lee3_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,lee,lee_oc,0.0,1.0,0.0,3,M,OT,2028,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,1.1363596,0.83632267,1.0660017,10.239496,26527.803,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2029,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,1.089857,0.8388417,1.0439621,15.634298,78945.68,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,OT,2029,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,1.0661322,0.8217877,1.0325367,15.008038,71534.26,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,OT,2029,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,1.0991619,0.84590024,1.0484092,15.688738,76601.164,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_lee_a0_lee1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,lee,lee_oc,0.0,1.0,0.0,1,M,OT,2029,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,1.083054,0.82898617,1.0406988,15.038687,71452.12,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
informer_ETTh1_lee_a0_lee3_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-113_phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,ETTh1,168,lee,lee_oc,0.0,1.0,0.0,3,M,OT,2029,4090-113,10.21.53.113,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,1.087094,0.83247024,1.042638,8.743353,19447.523,,,phase1_tanh_specificity_lee13_ett_4090-113_20260515_033539,,,,,,,,,,,,,,,,,
