dataset,pred_len,features,target,activation,encoder_activation,decoder_activation,output_activation,activation_signature,activation_family,amplitude,lee_type,baseline_activation,baseline_activation_signature,factor,factor_bin,sample_count,seed_count,baseline_target_mse_mean,activation_target_mse_mean,target_mse_delta_mean,aggregate_relative_target_mse_change,relative_target_mse_change_mean,target_win_rate,baseline_all_mse_mean,activation_all_mse_mean,all_mse_delta_mean,aggregate_relative_all_mse_change,relative_all_mse_change_mean,all_win_rate
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,high,16428,3,0.2117165,0.20233007,0.009386435,0.044334926,-0.35586115876850766,0.516009252495739,0.15550265,0.14798683,0.007515818,0.04833241,-0.13402598196089818,0.5163744825906988
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,low,14614,3,0.35793358,0.32072988,0.0372037,0.10394023,-0.5165367348597437,0.5883399479950732,0.22147927,0.2055414,0.015937865,0.07196098,-0.11409656388742036,0.5934035856028466
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,mid,10718,3,0.28307676,0.27213728,0.010939479,0.03864492,-0.3270856242042024,0.5263108788953162,0.22047089,0.21280685,0.0076640397,0.03476214,-0.1791355175756365,0.5212726254898302
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,high,16428,3,0.2117165,0.20818496,0.0035315454,0.016680539,-0.32177036754485744,0.5220355490625761,0.15550265,0.15169254,0.0038101077,0.024501882,-0.14090446464390005,0.5194789383978573
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,low,14608,3,0.3207531,0.29961157,0.02114153,0.06591216,-0.30015957481909866,0.5073932092004381,0.20554341,0.19205019,0.013493225,0.065646596,-0.1396604261558413,0.48569277108433734
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,mid,10724,3,0.27213287,0.27718607,-0.0050531924,-0.018568842,-0.425632048405037,0.49869451697127937,0.21280004,0.2139547,-0.0011546612,-0.0054260385,-0.20385776225694938,0.5094181275643417
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,high,16428,3,0.20818496,0.20094848,0.0072364807,0.034759864,-0.270223839971806,0.5177136596055515,0.15169254,0.14957812,0.0021144152,0.013938821,-0.12435959251948642,0.5116873630387144
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,low,14739,3,0.21522714,0.20810916,0.0071179867,0.033071976,-0.19108543980969916,0.5518013433747201,0.22183406,0.2113305,0.01050356,0.047348727,-0.0788628658090427,0.5318542641970283
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,mid,18660,3,0.20571877,0.17798963,0.027729139,0.13479148,-0.19967400618392753,0.5801714898177921,0.26102138,0.2534192,0.007602185,0.029124761,-0.07766910155342083,0.5306002143622722
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,high,8361,3,0.12459385,0.12273816,0.0018556863,0.014893884,-0.481220048104278,0.4597536179882789,0.17478497,0.18118891,-0.006403938,-0.03663895,-0.21143132740886883,0.4483913407487143
