feature_set,action_name,action_family,feature,direction,threshold,objective,fired_count,fired_rate,precision,mean_uplift_if_fired,policy_mean_uplift
data,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2853205664896136,0.06738602564323354,27,0.75,0.7777777777777778,0.08984803419097805,0.06738602564323354
data,placement_decoder_tanh_vs_default,placement,input_range,low,10.728410710035757,0.029181508267665517,19,0.5277777777777778,0.7368421052631579,0.05529127882294519,0.029181508267665517
data,placement_encoder_tanh_vs_default,placement,input_anomaly_density_intensity,low,0.05190274578985654,0.0593412794279761,27,0.75,0.7407407407407407,0.07912170590396812,0.0593412794279761
data,placement_output_tanh_matched,placement,input_anomaly_density_intensity,low,0.016366765843851515,0.010862710886809727,4,0.1111111111111111,1.0,0.09776439798128755,0.010862710886809727
data,placement_output_tanh_vs_best_linear,placement,input_cv,low,0.27159706028716296,0.005631157175008677,4,0.1111111111111111,0.75,0.050680414575078096,0.005631157175008677
data,regime_best_bounded_vs_default,regime,input_volatility,low,1.4324316245765012,0.1467948443496311,32,0.8888888888888888,0.875,0.16514419989333504,0.1467948443496311
data,regime_softsign_vs_default,regime,input_turbulence_score,low,0.9427689230132402,0.12201801566184702,27,0.75,0.8888888888888888,0.16269068754912938,0.12201801566184702
data,regime_tanh_sin_vs_default,regime,input_volatility,low,1.3639714174348017,0.12531031419886832,27,0.75,0.8518518518518519,0.16708041893182438,0.12531031419886832
data,regime_tanh_vs_default,regime,input_volatility,low,1.4324316245765012,0.124293958985303,32,0.8888888888888888,0.875,0.13983070385846585,0.124293958985303
frequency,placement_all_tanh_vs_best_split,placement,router_timefreq_rolling_spectral_entropy_std,low,0.20800753589371287,0.0674081117749404,22,0.6111111111111112,0.8636363636363636,0.1103041829044479,0.0674081117749404
frequency,placement_decoder_tanh_vs_default,placement,router_timefreq_phase_concentration,low,0.5485265757246012,0.028835398554316254,32,0.8888888888888888,0.625,0.03243982337360579,0.028835398554316254
frequency,placement_encoder_tanh_vs_default,placement,router_timefreq_dominant_frequency_drift,high,0.0029435591264204545,0.06163293047487998,27,0.75,0.8148148148148148,0.0821772406331733,0.06163293047487998
