host,jobs,manifest
10.21.53.62,12,.aris/patchtst_queue_20260521_stage1/patchtst_queue_manifest_10_21_53_62.json
10.21.53.82,36,.aris/patchtst_queue_20260521_stage1/patchtst_queue_manifest_10_21_53_82.json
10.21.53.113,36,.aris/patchtst_queue_20260521_stage1/patchtst_queue_manifest_10_21_53_113.json
10.21.53.142,24,.aris/patchtst_queue_20260521_stage1/patchtst_queue_manifest_10_21_53_142.json
10.21.53.162,36,.aris/patchtst_queue_20260521_stage1/patchtst_queue_manifest_10_21_53_162.json
