dataset,pred_len,features,activation,activation_family,amplitude,frequency,phase,lee_type,baseline_activation,mse_mean,mse_std,mae_mean,mae_std,seed_count,server_count,relative_mse_change_mean,win_rate,effect_label,cell,method,change_pct
Solar1,96,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,0.25139452,0.0087658197620102,0.2457294688888888,0.0032746295825613,6,2,-0.0041799245754827,0.3333333333333333,ineffective,Solar1 / 96,sin a=0.01,-0.41799245754827
Solar1,96,M,tanh_sin,sin_perturb,0.05,1.0,0.0,1,tanh,0.2552753566666667,0.0058527840370978,0.2460497499999999,0.0019585169884277,3,1,-0.0198816018041287,0.3333333333333333,ineffective,Solar1 / 96,sin a=0.05,-1.98816018041287
Solar1,96,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,0.2522725755555555,0.0061488916333049,0.2457246933333333,0.0041047147428384,6,2,-0.0082618096090872,0.3333333333333333,ineffective,Solar1 / 96,sin a=0.1,-0.82618096090872
Solar5,24,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,0.1147303753333333,0.0018562732172461,0.1720371133333333,0.0027683871813446,3,1,0.0200902945441299,0.6666666666666666,effective,Solar5 / 24,cos a=0.01,2.00902945441299
Solar5,24,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,0.11943622,0.0032889492337979,0.1749954766666666,0.0031221172482841,3,1,-0.0197929302242178,0.3333333333333333,ineffective,Solar5 / 24,cos a=0.1,-1.9792930224217802
Solar5,24,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,0.1171240066666666,0.0028509704434864,0.1740254233333333,0.0026264241421433,3,1,-8.051552536852448e-06,0.3333333333333333,ineffective,Solar5 / 24,rand a=0.01,-0.0008051552536852448
Solar5,24,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,0.11894209,0.0037582211710861,0.1731417233333333,0.0044587478940766,3,1,-0.0159316009474209,0.3333333333333333,ineffective,Solar5 / 24,rand a=0.1,-1.5931600947420899
Solar5,24,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,0.1179692233333333,0.0028437108835873,0.1739332433333333,0.002474548838765,3,1,-0.0071941421796669,0.3333333333333333,ineffective,Solar5 / 24,sin a=0.01,-0.71941421796669
Solar5,24,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,0.1133699933333333,0.0032448802421367,0.1701108733333333,0.0023056910370935,3,1,0.0321152400443916,1.0,effective,Solar5 / 24,sin a=0.1,3.21152400443916
Solar5,96,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,0.2048148733333333,0.0038124518068079,0.2452742,0.0030462448955394,3,1,0.011526673797251,0.3333333333333333,ineffective,Solar5 / 96,cos a=0.01,1.1526673797251001
Solar5,96,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,0.2027260433333333,0.0033363116632642,0.2460195733333333,0.0032625328461386,3,1,0.0217108797855783,1.0,effective,Solar5 / 96,cos a=0.1,2.17108797855783
Solar5,96,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,0.2008170666666666,0.0076106647894276,0.2432162866666666,0.0030492981103908,3,1,0.0308924175789399,0.6666666666666666,effective,Solar5 / 96,rand a=0.01,3.08924175789399
Solar5,96,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,0.21162904,0.0072638007946873,0.2494274466666667,0.0014194146151259,3,1,-0.0213104340910407,0.3333333333333333,negative,Solar5 / 96,rand a=0.1,-2.1310434091040698
Solar5,96,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,0.2044771166666666,0.0013329596071549,0.2451373583333333,0.0031464933681888,6,2,-0.0094037333066945,0.6666666666666666,ineffective,Solar5 / 96,sin a=0.01,-0.9403733306694501
Solar5,96,M,tanh_sin,sin_perturb,0.05,1.0,0.0,1,tanh,0.20307419,0.0060076528017271,0.2444030733333333,0.0048069792083733,3,1,-0.0241973398679465,0.0,negative,Solar5 / 96,sin a=0.05,-2.41973398679465
Solar5,96,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,0.2080618616666666,0.007351183407407,0.2485003733333333,0.0038367204933727,6,2,-0.0268298977145742,0.1666666666666666,negative,Solar5 / 96,sin a=0.1,-2.6829897714574202
