method,ETTh1 / 24,ETTh1 / 168,ETTh2 / 168,Solar1 / 24,Solar1 / 96,Solar5 / 24,Solar5 / 96
sin a=0.01,-1.6646935669895497,0.6026229512130901,-2.00066484824921,0.4795437538985,-0.41799245754827,-0.71941421796669,-0.9403733306694501
sin a=0.05,-1.29511277438784,,,-0.38210212985471004,-1.98816018041287,,-2.41973398679465
sin a=0.1,-2.29210278430751,0.00546062650939031,-6.22575248257864,-0.25400350396222,-0.82618096090872,3.21152400443916,-2.6829897714574202
cos a=0.01,,-0.52441836261331,-5.1628706432837,0.8466599366928,-0.5907073699296199,2.00902945441299,1.1526673797251001
cos a=0.1,,0.03817574788467,-5.81201997659986,1.13421497509224,-0.77483032485373,-1.9792930224217802,2.17108797855783
rand a=0.01,,-0.8123784113850299,-1.5877789814371501,-0.22216441580965,-0.28027022211936004,-0.0008051552536852448,3.08924175789399
rand a=0.1,,-0.7127440088313399,-16.50579573015652,0.72031778477036,-1.16728737660269,-1.5931600947420899,-2.1310434091040698
Lee1,0.6504212433339399,0.783444749578,4.97370189662494,0.57669769966965,-1.31842296860843,,
Lee3,-13.95488810614445,-5.40844467955209,22.07374071015972,-17.196143197502,,,
