setting,dataset,pred_len,activation,activation_family,amplitude,frequency,phase,lee_type,features,target,seed,server_id,server_ip,des,mse,mae,rmse,mape,mspe,relative_mse_change,win_against_baseline,run_id,encoder_activation,decoder_activation,output_activation,activation_signature,seq_len,label_len,d_model,n_heads,e_layers,d_layers,d_ff,factor,dropout,attn,embed,batch_size,train_epochs
informer_ETTh1_tanh_cos_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_cos,cos_perturb,0.1,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1337808,0.849469,1.0647914,11.570608,40839.453,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_rand_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1610346,0.86613226,1.0775131,11.90211,43055.3,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_rand_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1476202,0.85399127,1.0712703,11.330679,38973.625,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1336203,0.8576196,1.0647161,14.703864,65052.88,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1322536,0.8578259,1.064074,14.447981,62780.508,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1248631,0.8513343,1.0605956,13.831172,57038.812,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_cos_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_cos,cos_perturb,0.01,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1372899,0.8609017,1.066438,14.325834,61661.4,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_cos_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_cos,cos_perturb,0.1,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1445355,0.8612852,1.0698297,13.405829,52389.76,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_rand_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1412336,0.8623161,1.0682853,14.790616,65750.4,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_rand_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1629068,0.87532616,1.0783815,14.77324,65388.81,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,5.4420733,2.0691788,2.3328252,10.602938,5265.3857,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_sin_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,5.366168,2.0594387,2.316499,10.606931,5205.4834,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_sin_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,5.7143035,2.1293805,2.390461,11.129577,5685.29,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_cos_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_cos,cos_perturb,0.01,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,5.5829687,2.103068,2.3628306,10.749082,5536.92,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_cos_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_cos,cos_perturb,0.1,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,5.8323054,2.153776,2.4150167,11.239624,6144.85,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
