feature_set,eval_name,fold,action_name,action_family,feature,direction,threshold,objective,fired_count,fired_rate,precision,mean_uplift_if_fired,policy_mean_uplift
data,leave_cell,Informer-fullgrid:ETTh1/24,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06844006566580821,26,0.7428571428571429,0.7692307692307693,0.0921308576270495,0.06844006566580821
data,leave_cell,Informer-fullgrid:ETTh1/48,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06759694867122572,26,0.7428571428571429,0.7692307692307693,0.09099589244203463,0.06759694867122572
data,leave_cell,Informer-fullgrid:ETTh1/168,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06588290712493479,26,0.7428571428571429,0.7692307692307693,0.0886885288220276,0.06588290712493479
data,leave_cell,Informer-fullgrid:ETTh1/336,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06799117225992993,26,0.7428571428571429,0.7692307692307693,0.09152657804221336,0.06799117225992993
data,leave_cell,Informer-fullgrid:ETTh1/720,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06989162908893534,26,0.7428571428571429,0.8076923076923077,0.09408488531202834,0.06989162908893534
data,leave_cell,Informer-fullgrid:ETTh2/24,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06593778888670647,26,0.7428571428571429,0.7692307692307693,0.08876240811672023,0.06593778888670647
data,leave_cell,Informer-fullgrid:ETTh2/48,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06020106412597289,26,0.7428571428571429,0.7692307692307693,0.08103989401573274,0.06020106412597289
data,leave_cell,Informer-fullgrid:ETTh2/168,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06883133512274096,26,0.7428571428571429,0.7692307692307693,0.09265756651138207,0.06883133512274096
data,leave_cell,Informer-fullgrid:ETTh2/336,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.061514570073100926,26,0.7428571428571429,0.7692307692307693,0.0828080750984051,0.061514570073100926
data,leave_cell,Informer-fullgrid:ETTh2/720,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06880388869937921,26,0.7428571428571429,0.7692307692307693,0.09262061940301049,0.06880388869937921
data,leave_cell,Informer-fullgrid:ETTm1/24,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06807763686765647,26,0.7428571428571429,0.7692307692307693,0.09164297270646063,0.06807763686765647
data,leave_cell,Informer-fullgrid:ETTm1/48,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06815855668214033,26,0.7428571428571429,0.7692307692307693,0.09175190322595814,0.06815855668214033
data,leave_cell,Informer-fullgrid:ETTm1/96,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06816161410895899,26,0.7428571428571429,0.7692307692307693,0.09175601899282941,0.06816161410895899
data,leave_cell,Informer-fullgrid:ETTm1/288,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06642117223652254,26,0.7428571428571429,0.7692307692307693,0.08941311647224189,0.06642117223652254
data,leave_cell,Informer-fullgrid:ETTm1/672,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.07040474338823939,26,0.7428571428571429,0.8076923076923077,0.09477561609955301,0.07040474338823939
data,leave_cell,Informer-fullgrid:ETTm2/24,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.05802650006988313,26,0.7428571428571429,0.7692307692307693,0.0781125962479196,0.05802650006988313
data,leave_cell,Informer-fullgrid:ETTm2/48,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06934351207542828,26,0.7428571428571429,0.8076923076923077,0.09334703548615345,0.06934351207542828
data,leave_cell,Informer-fullgrid:ETTm2/96,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06382386668048959,26,0.7428571428571429,0.7692307692307693,0.08591674360835137,0.06382386668048959
data,leave_cell,Informer-fullgrid:ETTm2/288,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06252418842024739,26,0.7428571428571429,0.7692307692307693,0.08416717671956378,0.06252418842024739
data,leave_cell,Informer-fullgrid:ETTm2/672,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.05752879152404059,26,0.7428571428571429,0.7692307692307693,0.07744260397467004,0.05752879152404059
data,leave_cell,Informer-fullgrid:Solar1/24,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06960534127045297,26,0.7428571428571429,0.8076923076923077,0.0936994978640713,0.06960534127045297
data,leave_cell,Informer-fullgrid:Solar1/96,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06939955154782484,26,0.7428571428571429,0.8076923076923077,0.09342247323745652,0.06939955154782484
data,leave_cell,Informer-fullgrid:Solar2/24,placement_all_tanh_vs_best_split,placement,input_volatility_ratio_late_early,low,1.2052642270846243,0.06931458959816461,21,0.6,0.8571428571428571,0.115524315996941,0.06931458959816461
data,leave_cell,Informer-fullgrid:Solar2/96,placement_all_tanh_vs_best_split,placement,input_volatility_ratio_late_early,low,1.2052642270846243,0.06931458959816461,21,0.6,0.8571428571428571,0.115524315996941,0.06931458959816461
data,leave_cell,Informer-fullgrid:Solar3/24,placement_all_tanh_vs_best_split,placement,input_volatility_ratio_late_early,low,1.2052642270846243,0.06931458959816461,21,0.6,0.8571428571428571,0.115524315996941,0.06931458959816461
data,leave_cell,Informer-fullgrid:Solar3/96,placement_all_tanh_vs_best_split,placement,input_volatility,low,1.3407251612611217,0.06937513294393632,24,0.6857142857142857,0.8333333333333334,0.10117206887657378,0.06937513294393632
data,leave_cell,Informer-fullgrid:Solar4/24,placement_all_tanh_vs_best_split,placement,input_volatility_ratio_late_early,low,1.2052642270846243,0.06931458959816461,21,0.6,0.8571428571428571,0.115524315996941,0.06931458959816461
data,leave_cell,Informer-fullgrid:Solar4/96,placement_all_tanh_vs_best_split,placement,input_volatility_ratio_late_early,low,1.2052642270846243,0.06931458959816461,21,0.6,0.8571428571428571,0.115524315996941,0.06931458959816461
data,leave_cell,Informer-fullgrid:Solar5/24,placement_all_tanh_vs_best_split,placement,input_volatility_ratio_late_early,low,1.2052642270846243,0.06931458959816461,21,0.6,0.8571428571428571,0.115524315996941,0.06931458959816461
data,leave_cell,Informer-fullgrid:Solar5/96,placement_all_tanh_vs_best_split,placement,input_volatility_ratio_late_early,low,1.2052642270846243,0.06931458959816461,21,0.6,0.8571428571428571,0.115524315996941,0.06931458959816461
data,leave_cell,Informer-fullgrid:Solar6/24,placement_all_tanh_vs_best_split,placement,input_volatility_ratio_late_early,low,1.2052642270846243,0.06931458959816461,21,0.6,0.8571428571428571,0.115524315996941,0.06931458959816461
data,leave_cell,Informer-fullgrid:Solar6/96,placement_all_tanh_vs_best_split,placement,input_volatility_ratio_late_early,low,1.2052642270846243,0.06931458959816461,21,0.6,0.8571428571428571,0.115524315996941,0.06931458959816461
data,leave_cell,Informer-fullgrid:Solar7/24,placement_all_tanh_vs_best_split,placement,input_volatility_ratio_late_early,low,1.2052642270846243,0.06931458959816461,21,0.6,0.8571428571428571,0.115524315996941,0.06931458959816461
data,leave_cell,Informer-fullgrid:Solar7/96,placement_all_tanh_vs_best_split,placement,input_volatility_ratio_late_early,low,1.2052642270846243,0.06931458959816461,21,0.6,0.8571428571428571,0.115524315996941,0.06931458959816461
data,leave_cell,Informer-fullgrid:Solar8/24,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2850457302658641,0.06934868157452123,26,0.7428571428571429,0.8076923076923077,0.09335399442724013,0.06934868157452123
