model_scope,dataset,pred_len,model_family,search_space,baseline_config,action_name,action_family,action_config,comparator_config,action_mse,comparator_mse,uplift,seq_len,label_len,e_layers,d_layers,factor,d_model,n_heads,d_ff,batch_size,train_epochs,patch_len,stride,oracle_config,oracle_mse,oracle_action,baseline_mse,static_config,static_mse,oracle_gain_vs_baseline,static_gain_vs_baseline,static_regret_vs_oracle,baseline_is_oracle,scope_config_count,scope_has_output_tanh,test_sample_count,router_window_count,router_source_csv,input_volatility,input_anomaly_density_intensity,input_turbulence_score,input_mean,input_std,input_cv,input_trend,input_range,input_mean_abs_change,input_max_abs_change,input_skewness,input_kurtosis,input_realized_volatility,input_volatility_shock,input_volatility_ratio_late_early,input_upside_volatility,input_downside_volatility,input_cumulative_change,input_momentum,input_trend_consistency,input_reversal_rate,input_mean_crossing_rate,input_lag1_autocorr,input_mean_reversion_strength,input_jump_intensity,input_tail_ratio,input_max_drawdown,input_max_drawup,input_direction_entropy,input_spectral_entropy,input_dominant_frequency_energy_ratio,input_top3_frequency_energy_ratio,input_low_freq_energy_ratio,input_mid_freq_energy_ratio,input_high_freq_energy_ratio,input_spectral_centroid,input_spectral_bandwidth,input_spectral_flatness,input_daily_cycle_energy_ratio,router_time_robust_scale_ratio,router_time_iqr_mad_ratio,router_time_outlier_mass_z3,router_time_late_early_level_shift,router_time_local_roughness_ratio,router_time_trend_to_noise_ratio,router_time_dynamic_range_log,router_time_near_zero_fraction,router_norm_normalization_drift_score,router_freq_seasonal_peak_strength,router_freq_harmonic_energy_ratio,router_freq_spectral_entropy,router_freq_high_freq_noise_share,router_freq_dominant_period_to_horizon_ratio,router_timefreq_rolling_spectral_entropy_std,router_timefreq_dominant_frequency_drift,router_timefreq_burstiness_index,router_timefreq_phase_concentration,router_multivar_cross_channel_mean_abs_corr,router_multivar_correlation_condition_number,router_multivar_channel_heterogeneity_cv,router_multivar_target_channel_dominance,router_multivar_missing_or_constant_channel_ratio,pred_to_seq_ratio,ffn_to_model_ratio,has_patch,patch_to_seq_ratio,stride_to_patch_ratio,has_decoder,is_informer,is_patchtst,is_itransformer,positive
Informer-fullgrid,ETTh1,24,Informer,fullgrid,gelu_all,regime_tanh_vs_default,regime,tanh_all,gelu_all,0.5330212933333334,0.5646668,0.05604279668410938,48,48,2,1,3,0,0,0,32,6,0,0,softsign_all,0.5324173,bounded_linear,0.5646668,tanh_sin001_all,0.5476108000000001,0.05711244224027345,0.03020542380037211,0.028536826282692322,False,9,1.0,2857,1024,lee_ocil/ETT-small/ETTh1.csv,0.19450011397389774,0.05189112622885609,0.47676787399258463,4.942342432968587,0.9380593611006467,0.7967070539619212,0.03638273360554349,3.3144402045371057,0.4238279032446448,1.469865449093671,0.052067950772537945,-0.4820655090314506,0.5655058992349747,-0.07290739324565433,1.1711319596204124,0.6024434902029044,0.575204642589604,0.003010501106065463,-0.5904376841164458,0.561348826616408,0.5060672842892062,0.17024546879517968,-0.07334833498534207,0.2974779471437097,0.02095793195456861,3.2872975141412897,2.4217398244926276,2.854055772816171,0.7700027802659313,0.49505784642811856,0.6072463343843816,0.8127203309187838,0.7102767716324598,0.16349073177538254,0.10103123652915393,0.10243209586095345,0.09612274409464534,0.2472179947127972,0.5536483989824619,455498.11811782216,101638.16180872964,0.03969319661458333,1.509279313883097,0.38024859189899535,2.408237817497708,1.979374683735432,0.028361002604166664,2.2694042766175944,0.7573222881860888,0.9105955413898633,0.501262256113161,0.06493995424449228,1.5558128713755546,0.14691416531616514,0.0224609375,4.882130742207674,0.4048655509385895,0.38347070622459467,8.032926353971472,1.0087117527785767,0.28872709600625185,0.0,0.5,,0.0,0.0,,1.0,1.0,0.0,0.0,True
Informer-fullgrid,ETTh1,24,Informer,fullgrid,gelu_all,regime_tanh_sin_vs_default,regime,tanh_sin001_all,gelu_all,0.5476108000000001,0.5646668,0.03020542380037211,48,48,2,1,3,0,0,0,32,6,0,0,softsign_all,0.5324173,bounded_linear,0.5646668,tanh_sin001_all,0.5476108000000001,0.05711244224027345,0.03020542380037211,0.028536826282692322,False,9,1.0,2857,1024,lee_ocil/ETT-small/ETTh1.csv,0.19450011397389774,0.05189112622885609,0.47676787399258463,4.942342432968587,0.9380593611006467,0.7967070539619212,0.03638273360554349,3.3144402045371057,0.4238279032446448,1.469865449093671,0.052067950772537945,-0.4820655090314506,0.5655058992349747,-0.07290739324565433,1.1711319596204124,0.6024434902029044,0.575204642589604,0.003010501106065463,-0.5904376841164458,0.561348826616408,0.5060672842892062,0.17024546879517968,-0.07334833498534207,0.2974779471437097,0.02095793195456861,3.2872975141412897,2.4217398244926276,2.854055772816171,0.7700027802659313,0.49505784642811856,0.6072463343843816,0.8127203309187838,0.7102767716324598,0.16349073177538254,0.10103123652915393,0.10243209586095345,0.09612274409464534,0.2472179947127972,0.5536483989824619,455498.11811782216,101638.16180872964,0.03969319661458333,1.509279313883097,0.38024859189899535,2.408237817497708,1.979374683735432,0.028361002604166664,2.2694042766175944,0.7573222881860888,0.9105955413898633,0.501262256113161,0.06493995424449228,1.5558128713755546,0.14691416531616514,0.0224609375,4.882130742207674,0.4048655509385895,0.38347070622459467,8.032926353971472,1.0087117527785767,0.28872709600625185,0.0,0.5,,0.0,0.0,,1.0,1.0,0.0,0.0,True
Informer-fullgrid,ETTh1,24,Informer,fullgrid,gelu_all,regime_softsign_vs_default,regime,softsign_all,gelu_all,0.5324173,0.5646668,0.05711244224027345,48,48,2,1,3,0,0,0,32,6,0,0,softsign_all,0.5324173,bounded_linear,0.5646668,tanh_sin001_all,0.5476108000000001,0.05711244224027345,0.03020542380037211,0.028536826282692322,False,9,1.0,2857,1024,lee_ocil/ETT-small/ETTh1.csv,0.19450011397389774,0.05189112622885609,0.47676787399258463,4.942342432968587,0.9380593611006467,0.7967070539619212,0.03638273360554349,3.3144402045371057,0.4238279032446448,1.469865449093671,0.052067950772537945,-0.4820655090314506,0.5655058992349747,-0.07290739324565433,1.1711319596204124,0.6024434902029044,0.575204642589604,0.003010501106065463,-0.5904376841164458,0.561348826616408,0.5060672842892062,0.17024546879517968,-0.07334833498534207,0.2974779471437097,0.02095793195456861,3.2872975141412897,2.4217398244926276,2.854055772816171,0.7700027802659313,0.49505784642811856,0.6072463343843816,0.8127203309187838,0.7102767716324598,0.16349073177538254,0.10103123652915393,0.10243209586095345,0.09612274409464534,0.2472179947127972,0.5536483989824619,455498.11811782216,101638.16180872964,0.03969319661458333,1.509279313883097,0.38024859189899535,2.408237817497708,1.979374683735432,0.028361002604166664,2.2694042766175944,0.7573222881860888,0.9105955413898633,0.501262256113161,0.06493995424449228,1.5558128713755546,0.14691416531616514,0.0224609375,4.882130742207674,0.4048655509385895,0.38347070622459467,8.032926353971472,1.0087117527785767,0.28872709600625185,0.0,0.5,,0.0,0.0,,1.0,1.0,0.0,0.0,True
Informer-fullgrid,ETTh1,24,Informer,fullgrid,gelu_all,regime_swish_vs_default,regime,swish_all,gelu_all,0.5560594499999999,0.5646668,0.015243237250711613,48,48,2,1,3,0,0,0,32,6,0,0,softsign_all,0.5324173,bounded_linear,0.5646668,tanh_sin001_all,0.5476108000000001,0.05711244224027345,0.03020542380037211,0.028536826282692322,False,9,1.0,2857,1024,lee_ocil/ETT-small/ETTh1.csv,0.19450011397389774,0.05189112622885609,0.47676787399258463,4.942342432968587,0.9380593611006467,0.7967070539619212,0.03638273360554349,3.3144402045371057,0.4238279032446448,1.469865449093671,0.052067950772537945,-0.4820655090314506,0.5655058992349747,-0.07290739324565433,1.1711319596204124,0.6024434902029044,0.575204642589604,0.003010501106065463,-0.5904376841164458,0.561348826616408,0.5060672842892062,0.17024546879517968,-0.07334833498534207,0.2974779471437097,0.02095793195456861,3.2872975141412897,2.4217398244926276,2.854055772816171,0.7700027802659313,0.49505784642811856,0.6072463343843816,0.8127203309187838,0.7102767716324598,0.16349073177538254,0.10103123652915393,0.10243209586095345,0.09612274409464534,0.2472179947127972,0.5536483989824619,455498.11811782216,101638.16180872964,0.03969319661458333,1.509279313883097,0.38024859189899535,2.408237817497708,1.979374683735432,0.028361002604166664,2.2694042766175944,0.7573222881860888,0.9105955413898633,0.501262256113161,0.06493995424449228,1.5558128713755546,0.14691416531616514,0.0224609375,4.882130742207674,0.4048655509385895,0.38347070622459467,8.032926353971472,1.0087117527785767,0.28872709600625185,0.0,0.5,,0.0,0.0,,1.0,1.0,0.0,0.0,True
Informer-fullgrid,ETTh1,24,Informer,fullgrid,gelu_all,regime_relu_vs_default,regime,relu_all,gelu_all,0.5829117,0.5646668,-0.032310913267789086,48,48,2,1,3,0,0,0,32,6,0,0,softsign_all,0.5324173,bounded_linear,0.5646668,tanh_sin001_all,0.5476108000000001,0.05711244224027345,0.03020542380037211,0.028536826282692322,False,9,1.0,2857,1024,lee_ocil/ETT-small/ETTh1.csv,0.19450011397389774,0.05189112622885609,0.47676787399258463,4.942342432968587,0.9380593611006467,0.7967070539619212,0.03638273360554349,3.3144402045371057,0.4238279032446448,1.469865449093671,0.052067950772537945,-0.4820655090314506,0.5655058992349747,-0.07290739324565433,1.1711319596204124,0.6024434902029044,0.575204642589604,0.003010501106065463,-0.5904376841164458,0.561348826616408,0.5060672842892062,0.17024546879517968,-0.07334833498534207,0.2974779471437097,0.02095793195456861,3.2872975141412897,2.4217398244926276,2.854055772816171,0.7700027802659313,0.49505784642811856,0.6072463343843816,0.8127203309187838,0.7102767716324598,0.16349073177538254,0.10103123652915393,0.10243209586095345,0.09612274409464534,0.2472179947127972,0.5536483989824619,455498.11811782216,101638.16180872964,0.03969319661458333,1.509279313883097,0.38024859189899535,2.408237817497708,1.979374683735432,0.028361002604166664,2.2694042766175944,0.7573222881860888,0.9105955413898633,0.501262256113161,0.06493995424449228,1.5558128713755546,0.14691416531616514,0.0224609375,4.882130742207674,0.4048655509385895,0.38347070622459467,8.032926353971472,1.0087117527785767,0.28872709600625185,0.0,0.5,,0.0,0.0,,1.0,1.0,0.0,0.0,False
Informer-fullgrid,ETTh1,24,Informer,fullgrid,gelu_all,regime_best_bounded_vs_default,regime,softsign_all,gelu_all,0.5324173,0.5646668,0.05711244224027345,48,48,2,1,3,0,0,0,32,6,0,0,softsign_all,0.5324173,bounded_linear,0.5646668,tanh_sin001_all,0.5476108000000001,0.05711244224027345,0.03020542380037211,0.028536826282692322,False,9,1.0,2857,1024,lee_ocil/ETT-small/ETTh1.csv,0.19450011397389774,0.05189112622885609,0.47676787399258463,4.942342432968587,0.9380593611006467,0.7967070539619212,0.03638273360554349,3.3144402045371057,0.4238279032446448,1.469865449093671,0.052067950772537945,-0.4820655090314506,0.5655058992349747,-0.07290739324565433,1.1711319596204124,0.6024434902029044,0.575204642589604,0.003010501106065463,-0.5904376841164458,0.561348826616408,0.5060672842892062,0.17024546879517968,-0.07334833498534207,0.2974779471437097,0.02095793195456861,3.2872975141412897,2.4217398244926276,2.854055772816171,0.7700027802659313,0.49505784642811856,0.6072463343843816,0.8127203309187838,0.7102767716324598,0.16349073177538254,0.10103123652915393,0.10243209586095345,0.09612274409464534,0.2472179947127972,0.5536483989824619,455498.11811782216,101638.16180872964,0.03969319661458333,1.509279313883097,0.38024859189899535,2.408237817497708,1.979374683735432,0.028361002604166664,2.2694042766175944,0.7573222881860888,0.9105955413898633,0.501262256113161,0.06493995424449228,1.5558128713755546,0.14691416531616514,0.0224609375,4.882130742207674,0.4048655509385895,0.38347070622459467,8.032926353971472,1.0087117527785767,0.28872709600625185,0.0,0.5,,0.0,0.0,,1.0,1.0,0.0,0.0,True
Informer-fullgrid,ETTh1,24,Informer,fullgrid,gelu_all,regime_best_unbounded_vs_default,regime,swish_all,gelu_all,0.5560594499999999,0.5646668,0.015243237250711613,48,48,2,1,3,0,0,0,32,6,0,0,softsign_all,0.5324173,bounded_linear,0.5646668,tanh_sin001_all,0.5476108000000001,0.05711244224027345,0.03020542380037211,0.028536826282692322,False,9,1.0,2857,1024,lee_ocil/ETT-small/ETTh1.csv,0.19450011397389774,0.05189112622885609,0.47676787399258463,4.942342432968587,0.9380593611006467,0.7967070539619212,0.03638273360554349,3.3144402045371057,0.4238279032446448,1.469865449093671,0.052067950772537945,-0.4820655090314506,0.5655058992349747,-0.07290739324565433,1.1711319596204124,0.6024434902029044,0.575204642589604,0.003010501106065463,-0.5904376841164458,0.561348826616408,0.5060672842892062,0.17024546879517968,-0.07334833498534207,0.2974779471437097,0.02095793195456861,3.2872975141412897,2.4217398244926276,2.854055772816171,0.7700027802659313,0.49505784642811856,0.6072463343843816,0.8127203309187838,0.7102767716324598,0.16349073177538254,0.10103123652915393,0.10243209586095345,0.09612274409464534,0.2472179947127972,0.5536483989824619,455498.11811782216,101638.16180872964,0.03969319661458333,1.509279313883097,0.38024859189899535,2.408237817497708,1.979374683735432,0.028361002604166664,2.2694042766175944,0.7573222881860888,0.9105955413898633,0.501262256113161,0.06493995424449228,1.5558128713755546,0.14691416531616514,0.0224609375,4.882130742207674,0.4048655509385895,0.38347070622459467,8.032926353971472,1.0087117527785767,0.28872709600625185,0.0,0.5,,0.0,0.0,,1.0,1.0,0.0,0.0,True
Informer-fullgrid,ETTh1,24,Informer,fullgrid,gelu_all,regime_tanh_sin_vs_tanh,regime,tanh_sin001_all,tanh_all,0.5476108000000001,0.5330212933333334,-0.027371339286333004,48,48,2,1,3,0,0,0,32,6,0,0,softsign_all,0.5324173,bounded_linear,0.5646668,tanh_sin001_all,0.5476108000000001,0.05711244224027345,0.03020542380037211,0.028536826282692322,False,9,1.0,2857,1024,lee_ocil/ETT-small/ETTh1.csv,0.19450011397389774,0.05189112622885609,0.47676787399258463,4.942342432968587,0.9380593611006467,0.7967070539619212,0.03638273360554349,3.3144402045371057,0.4238279032446448,1.469865449093671,0.052067950772537945,-0.4820655090314506,0.5655058992349747,-0.07290739324565433,1.1711319596204124,0.6024434902029044,0.575204642589604,0.003010501106065463,-0.5904376841164458,0.561348826616408,0.5060672842892062,0.17024546879517968,-0.07334833498534207,0.2974779471437097,0.02095793195456861,3.2872975141412897,2.4217398244926276,2.854055772816171,0.7700027802659313,0.49505784642811856,0.6072463343843816,0.8127203309187838,0.7102767716324598,0.16349073177538254,0.10103123652915393,0.10243209586095345,0.09612274409464534,0.2472179947127972,0.5536483989824619,455498.11811782216,101638.16180872964,0.03969319661458333,1.509279313883097,0.38024859189899535,2.408237817497708,1.979374683735432,0.028361002604166664,2.2694042766175944,0.7573222881860888,0.9105955413898633,0.501262256113161,0.06493995424449228,1.5558128713755546,0.14691416531616514,0.0224609375,4.882130742207674,0.4048655509385895,0.38347070622459467,8.032926353971472,1.0087117527785767,0.28872709600625185,0.0,0.5,,0.0,0.0,,1.0,1.0,0.0,0.0,False
Informer-fullgrid,ETTh1,24,Informer,fullgrid,gelu_all,regime_softsign_vs_tanh,regime,softsign_all,tanh_all,0.5324173,0.5330212933333334,0.0011331504780160236,48,48,2,1,3,0,0,0,32,6,0,0,softsign_all,0.5324173,bounded_linear,0.5646668,tanh_sin001_all,0.5476108000000001,0.05711244224027345,0.03020542380037211,0.028536826282692322,False,9,1.0,2857,1024,lee_ocil/ETT-small/ETTh1.csv,0.19450011397389774,0.05189112622885609,0.47676787399258463,4.942342432968587,0.9380593611006467,0.7967070539619212,0.03638273360554349,3.3144402045371057,0.4238279032446448,1.469865449093671,0.052067950772537945,-0.4820655090314506,0.5655058992349747,-0.07290739324565433,1.1711319596204124,0.6024434902029044,0.575204642589604,0.003010501106065463,-0.5904376841164458,0.561348826616408,0.5060672842892062,0.17024546879517968,-0.07334833498534207,0.2974779471437097,0.02095793195456861,3.2872975141412897,2.4217398244926276,2.854055772816171,0.7700027802659313,0.49505784642811856,0.6072463343843816,0.8127203309187838,0.7102767716324598,0.16349073177538254,0.10103123652915393,0.10243209586095345,0.09612274409464534,0.2472179947127972,0.5536483989824619,455498.11811782216,101638.16180872964,0.03969319661458333,1.509279313883097,0.38024859189899535,2.408237817497708,1.979374683735432,0.028361002604166664,2.2694042766175944,0.7573222881860888,0.9105955413898633,0.501262256113161,0.06493995424449228,1.5558128713755546,0.14691416531616514,0.0224609375,4.882130742207674,0.4048655509385895,0.38347070622459467,8.032926353971472,1.0087117527785767,0.28872709600625185,0.0,0.5,,0.0,0.0,,1.0,1.0,0.0,0.0,False
Informer-fullgrid,ETTh1,24,Informer,fullgrid,gelu_all,regime_swish_vs_gelu,regime,swish_all,gelu_all,0.5560594499999999,0.5646668,0.015243237250711613,48,48,2,1,3,0,0,0,32,6,0,0,softsign_all,0.5324173,bounded_linear,0.5646668,tanh_sin001_all,0.5476108000000001,0.05711244224027345,0.03020542380037211,0.028536826282692322,False,9,1.0,2857,1024,lee_ocil/ETT-small/ETTh1.csv,0.19450011397389774,0.05189112622885609,0.47676787399258463,4.942342432968587,0.9380593611006467,0.7967070539619212,0.03638273360554349,3.3144402045371057,0.4238279032446448,1.469865449093671,0.052067950772537945,-0.4820655090314506,0.5655058992349747,-0.07290739324565433,1.1711319596204124,0.6024434902029044,0.575204642589604,0.003010501106065463,-0.5904376841164458,0.561348826616408,0.5060672842892062,0.17024546879517968,-0.07334833498534207,0.2974779471437097,0.02095793195456861,3.2872975141412897,2.4217398244926276,2.854055772816171,0.7700027802659313,0.49505784642811856,0.6072463343843816,0.8127203309187838,0.7102767716324598,0.16349073177538254,0.10103123652915393,0.10243209586095345,0.09612274409464534,0.2472179947127972,0.5536483989824619,455498.11811782216,101638.16180872964,0.03969319661458333,1.509279313883097,0.38024859189899535,2.408237817497708,1.979374683735432,0.028361002604166664,2.2694042766175944,0.7573222881860888,0.9105955413898633,0.501262256113161,0.06493995424449228,1.5558128713755546,0.14691416531616514,0.0224609375,4.882130742207674,0.4048655509385895,0.38347070622459467,8.032926353971472,1.0087117527785767,0.28872709600625185,0.0,0.5,,0.0,0.0,,1.0,1.0,0.0,0.0,True
