target,feature,spearman,pearson,abs_spearman
oracle_gain_vs_baseline,n_heads,-0.7529854282074573,-0.4391878383061646,0.7529854282074573
oracle_gain_vs_baseline,d_model,-0.7485103003355792,-0.44510549557928414,0.7485103003355792
oracle_gain_vs_baseline,train_epochs,-0.7400658416689837,-0.4088557226256764,0.7400658416689837
oracle_gain_vs_baseline,d_ff,-0.7367525403322951,-0.4451346699066336,0.7367525403322951
oracle_gain_vs_baseline,scope_config_count,0.6126104116285179,0.28318592321530833,0.6126104116285179
oracle_gain_vs_baseline,d_layers,0.5735393346764044,0.45656049685905215,0.5735393346764044
static_regret_vs_oracle,n_heads,-0.5102965908652826,-0.29500260503713965,0.5102965908652826
static_regret_vs_oracle,d_model,-0.49792437454474503,-0.2961211882557726,0.49792437454474503
oracle_gain_vs_baseline,patch_to_seq_ratio,-0.49205188409935324,-0.273625842369814,0.49205188409935324
static_regret_vs_oracle,train_epochs,-0.4858064391532351,-0.26733657048394854,0.4858064391532351
static_regret_vs_oracle,d_ff,-0.4818648047584827,-0.2925338823522782,0.4818648047584827
static_regret_vs_oracle,scope_config_count,0.4473888202008458,0.1925279816662596,0.4473888202008458
oracle_gain_vs_baseline,router_freq_seasonal_peak_strength,-0.3833556986691915,-0.298537491930639,0.3833556986691915
oracle_gain_vs_baseline,input_daily_cycle_energy_ratio,-0.3428288716780963,0.0459673048285022,0.3428288716780963
oracle_gain_vs_baseline,router_multivar_correlation_condition_number,0.3214061492718445,-0.1856808585144421,0.3214061492718445
static_regret_vs_oracle,d_layers,0.31872343770504935,0.21038892785675165,0.31872343770504935
oracle_gain_vs_baseline,router_multivar_missing_or_constant_channel_ratio,-0.3118239465557181,-0.11373656980859817,0.3118239465557181
oracle_gain_vs_baseline,router_freq_harmonic_energy_ratio,-0.30017936639979625,-0.2822647976502019,0.30017936639979625
oracle_gain_vs_baseline,router_timefreq_dominant_frequency_drift,0.29446999627007964,0.09335427978170258,0.29446999627007964
static_regret_vs_oracle,patch_to_seq_ratio,-0.29020512726569425,-0.1692726439020527,0.29020512726569425
oracle_gain_vs_baseline,input_spectral_entropy,0.28737798349849947,-0.07480448460239215,0.28737798349849947
oracle_gain_vs_baseline,seq_len,0.2867581661320311,0.4846187604934351,0.2867581661320311
static_regret_vs_oracle,input_dominant_frequency_energy_ratio,-0.2802179542849692,-0.30619131890145423,0.2802179542849692
oracle_gain_vs_baseline,input_jump_intensity,-0.2704945269679626,-0.13109763486944911,0.2704945269679626
oracle_gain_vs_baseline,pred_to_seq_ratio,-0.2683706796837595,-0.20992094822677665,0.2683706796837595
oracle_gain_vs_baseline,router_freq_spectral_entropy,0.2506719774243729,0.1442504736072905,0.2506719774243729
static_regret_vs_oracle,router_timefreq_dominant_frequency_drift,0.24830666875001614,0.05677030959800595,0.24830666875001614
oracle_gain_vs_baseline,input_turbulence_score,-0.24227923404265542,-0.20489336488061483,0.24227923404265542
static_regret_vs_oracle,input_trend_consistency,-0.24217736875677853,-0.27812428680774554,0.24217736875677853
static_regret_vs_oracle,input_anomaly_density_intensity,0.24048741243104882,0.153522366354359,0.24048741243104882
static_regret_vs_oracle,input_daily_cycle_energy_ratio,-0.2397915480616307,-0.2714409793912186,0.2397915480616307
static_regret_vs_oracle,input_lag1_autocorr,-0.23922822928638748,-0.16943324566935408,0.23922822928638748
static_regret_vs_oracle,router_multivar_missing_or_constant_channel_ratio,-0.23330594858039386,-0.037700791191486706,0.23330594858039386
oracle_gain_vs_baseline,input_range,-0.2332986720583273,-0.2339965694549973,0.2332986720583273
oracle_gain_vs_baseline,input_mid_freq_energy_ratio,0.22951050773039253,0.014707984616521935,0.22951050773039253
oracle_gain_vs_baseline,input_max_drawup,-0.2275511123883573,-0.2349988720055852,0.2275511123883573
oracle_gain_vs_baseline,input_std,-0.22219543178679438,-0.23517107201489124,0.22219543178679438
static_regret_vs_oracle,router_multivar_target_channel_dominance,-0.2198765725368549,-0.13811557530509302,0.2198765725368549
oracle_gain_vs_baseline,input_low_freq_energy_ratio,-0.21879914652726665,-0.09712487813020657,0.21879914652726665
static_regret_vs_oracle,input_reversal_rate,0.21129424531403138,0.06420895837138972,0.21129424531403138
static_regret_vs_oracle,input_high_freq_energy_ratio,0.2111616997198565,0.05760405574156719,0.2111616997198565
oracle_gain_vs_baseline,router_time_outlier_mass_z3,-0.21112484810429533,-0.28958788695627324,0.21112484810429533
static_regret_vs_oracle,router_timefreq_phase_concentration,-0.20993565297373887,-0.08638100311438601,0.20993565297373887
oracle_gain_vs_baseline,input_spectral_flatness,0.20887154346095485,0.018079929770479997,0.20887154346095485
static_regret_vs_oracle,router_multivar_correlation_condition_number,0.20861019703199005,-0.08622591553607929,0.20861019703199005
oracle_gain_vs_baseline,input_anomaly_density_intensity,0.20828372485834426,-0.1371504786702482,0.20828372485834426
oracle_gain_vs_baseline,input_dominant_frequency_energy_ratio,-0.20478946983171478,0.09401716903333558,0.20478946983171478
static_regret_vs_oracle,input_volatility_ratio_late_early,0.20145273494654653,-0.018841634358765236,0.20145273494654653
oracle_gain_vs_baseline,input_max_drawdown,-0.20103396209281393,-0.24427655246278043,0.20103396209281393
oracle_gain_vs_baseline,input_mean_abs_change,-0.19959707217532144,-0.220697727465782,0.19959707217532144
static_regret_vs_oracle,router_freq_harmonic_energy_ratio,-0.19926573264266098,-0.1310397542799718,0.19926573264266098
static_regret_vs_oracle,input_top3_frequency_energy_ratio,-0.19863614107033029,-0.4143080500658592,0.19863614107033029
oracle_gain_vs_baseline,router_norm_normalization_drift_score,0.19835612179203246,0.25104412697747974,0.19835612179203246
static_regret_vs_oracle,input_spectral_entropy,0.19525622841887083,0.07836400234518334,0.19525622841887083
static_regret_vs_oracle,router_time_near_zero_fraction,0.19298858799803728,0.1985179664975121,0.19298858799803728
