feature,train_mean_gain_vs_static,train_positive_vs_static_rate,train_regret_vs_oracle,train_action_hit_rate,outer_mode,outer_fold,selection_mode
d_layers,0.019985904411693678,0.4423076923076923,0.0070809008157311105,0.7115384615384616,leave_dataset,ETTh1,train_score
router_freq_seasonal_peak_strength,0.018203943569679252,0.4807692307692308,0.009080582368521854,0.7692307692307693,leave_dataset,ETTh1,train_score
input_daily_cycle_energy_ratio,0.018203943569679252,0.4807692307692308,0.009080582368521854,0.7692307692307693,leave_dataset,ETTh1,train_score
router_multivar_correlation_condition_number,0.018203943569679252,0.4807692307692308,0.009080582368521854,0.7692307692307693,leave_dataset,ETTh1,train_score
input_dominant_frequency_energy_ratio,0.018203943569679252,0.4807692307692308,0.009080582368521854,0.7692307692307693,leave_dataset,ETTh1,train_score
seq_len,0.017794333275632557,0.4807692307692308,0.009490192662568548,0.7307692307692307,leave_dataset,ETTh1,train_score
input_jump_intensity,0.017794333275632557,0.4807692307692308,0.009490192662568548,0.7307692307692307,leave_dataset,ETTh1,train_score
router_timefreq_dominant_frequency_drift,0.017752834833702557,0.5,0.00953081239158192,0.75,leave_dataset,ETTh1,train_score
router_freq_harmonic_energy_ratio,0.017752793834206256,0.4423076923076923,0.009537191059362439,0.7307692307692307,leave_dataset,ETTh1,train_score
input_turbulence_score,0.017724881153023442,0.5,0.009558766072261034,0.7115384615384616,leave_dataset,ETTh1,train_score
router_freq_spectral_entropy,0.01770831698053776,0.4423076923076923,0.009578991075368927,0.6923076923076923,leave_dataset,ETTh1,train_score
input_spectral_entropy,0.017687163770121805,0.46153846153846156,0.009601942410530261,0.7307692307692307,leave_dataset,ETTh1,train_score
router_multivar_missing_or_constant_channel_ratio,0.017456215311948117,0.46153846153846156,0.00983021403104194,0.7115384615384616,leave_dataset,ETTh1,train_score
n_heads,0.01745617431245182,0.40384615384615385,0.00983659269882246,0.6923076923076923,leave_dataset,ETTh1,train_score
d_model,0.01745617431245182,0.40384615384615385,0.00983659269882246,0.6923076923076923,leave_dataset,ETTh1,train_score
train_epochs,0.01745617431245182,0.40384615384615385,0.00983659269882246,0.6923076923076923,leave_dataset,ETTh1,train_score
d_ff,0.01745617431245182,0.40384615384615385,0.00983659269882246,0.6923076923076923,leave_dataset,ETTh1,train_score
scope_config_count,0.01745617431245182,0.40384615384615385,0.00983659269882246,0.6923076923076923,leave_dataset,ETTh1,train_score
patch_to_seq_ratio,0.01745617431245182,0.40384615384615385,0.00983659269882246,0.6923076923076923,leave_dataset,ETTh1,train_score
pred_to_seq_ratio,0.01745617431245182,0.40384615384615385,0.00983659269882246,0.6923076923076923,leave_dataset,ETTh1,train_score
input_daily_cycle_energy_ratio,0.02242898705874392,0.6444444444444445,0.008392261077767376,0.8222222222222222,leave_dataset,ETTh2,train_score
router_freq_seasonal_peak_strength,0.022285370046950467,0.6222222222222222,0.00853648921961967,0.7777777777777778,leave_dataset,ETTh2,train_score
router_multivar_correlation_condition_number,0.022285370046950467,0.6222222222222222,0.00853648921961967,0.7777777777777778,leave_dataset,ETTh2,train_score
router_multivar_missing_or_constant_channel_ratio,0.022285370046950467,0.6222222222222222,0.00853648921961967,0.7777777777777778,leave_dataset,ETTh2,train_score
router_timefreq_dominant_frequency_drift,0.022285370046950467,0.6222222222222222,0.00853648921961967,0.7777777777777778,leave_dataset,ETTh2,train_score
input_dominant_frequency_energy_ratio,0.022059822925598372,0.6222222222222222,0.008762036340971766,0.7555555555555555,leave_dataset,ETTh2,train_score
input_spectral_entropy,0.021942609710700896,0.5777777777777777,0.00888246444744014,0.7333333333333333,leave_dataset,ETTh2,train_score
router_freq_harmonic_energy_ratio,0.021812042596052062,0.6222222222222222,0.009009816670518074,0.7333333333333333,leave_dataset,ETTh2,train_score
seq_len,0.021812042596052062,0.6222222222222222,0.009009816670518074,0.7333333333333333,leave_dataset,ETTh2,train_score
pred_to_seq_ratio,0.02172569588553159,0.6444444444444445,0.009095552250979706,0.7333333333333333,leave_dataset,ETTh2,train_score
input_jump_intensity,0.02168788818455702,0.6,0.009135739322638578,0.7333333333333333,leave_dataset,ETTh2,train_score
router_freq_spectral_entropy,0.02158731470629992,0.6,0.009236840395589873,0.7111111111111111,leave_dataset,ETTh2,train_score
input_turbulence_score,0.021505348557729953,0.6,0.009319642065046433,0.6666666666666666,leave_dataset,ETTh2,train_score
n_heads,0.02142128112748766,0.5333333333333333,0.009410101156855928,0.6888888888888889,leave_dataset,ETTh2,train_score
d_model,0.02142128112748766,0.5333333333333333,0.009410101156855928,0.6888888888888889,leave_dataset,ETTh2,train_score
train_epochs,0.02142128112748766,0.5333333333333333,0.009410101156855928,0.6888888888888889,leave_dataset,ETTh2,train_score
d_ff,0.02142128112748766,0.5333333333333333,0.009410101156855928,0.6888888888888889,leave_dataset,ETTh2,train_score
scope_config_count,0.02142128112748766,0.5333333333333333,0.009410101156855928,0.6888888888888889,leave_dataset,ETTh2,train_score
d_layers,0.02142128112748766,0.5333333333333333,0.009410101156855928,0.6888888888888889,leave_dataset,ETTh2,train_score
patch_to_seq_ratio,0.02142128112748766,0.5333333333333333,0.009410101156855928,0.6888888888888889,leave_dataset,ETTh2,train_score
d_layers,0.017905440621605,0.46153846153846156,0.008492998943385694,0.6923076923076923,leave_dataset,ETTm1,train_score
router_freq_seasonal_peak_strength,0.016123479779590572,0.5,0.010492680496176437,0.75,leave_dataset,ETTm1,train_score
input_daily_cycle_energy_ratio,0.016123479779590572,0.5,0.010492680496176437,0.75,leave_dataset,ETTm1,train_score
router_multivar_correlation_condition_number,0.016123479779590572,0.5,0.010492680496176437,0.75,leave_dataset,ETTm1,train_score
input_dominant_frequency_energy_ratio,0.016123479779590572,0.5,0.010492680496176437,0.75,leave_dataset,ETTm1,train_score
router_timefreq_dominant_frequency_drift,0.015826860257836133,0.46153846153846156,0.010792082135636458,0.7115384615384616,leave_dataset,ETTm1,train_score
seq_len,0.015713869485543874,0.5,0.010902290790223134,0.7115384615384616,leave_dataset,ETTm1,train_score
input_jump_intensity,0.015713869485543874,0.5,0.010902290790223134,0.7115384615384616,leave_dataset,ETTm1,train_score
router_freq_harmonic_energy_ratio,0.01567233004411758,0.46153846153846156,0.010949289187017024,0.7115384615384616,leave_dataset,ETTm1,train_score
input_turbulence_score,0.01564441736293476,0.5192307692307693,0.010970864199915617,0.6923076923076923,leave_dataset,ETTm1,train_score
router_freq_spectral_entropy,0.01562785319044908,0.46153846153846156,0.010991089203023512,0.6730769230769231,leave_dataset,ETTm1,train_score
input_spectral_entropy,0.015606699980033124,0.4807692307692308,0.011014040538184845,0.7115384615384616,leave_dataset,ETTm1,train_score
router_multivar_missing_or_constant_channel_ratio,0.015375751521859438,0.4807692307692308,0.011242312158696524,0.6923076923076923,leave_dataset,ETTm1,train_score
n_heads,0.01537571052236314,0.4230769230769231,0.011248690826477047,0.6730769230769231,leave_dataset,ETTm1,train_score
d_model,0.01537571052236314,0.4230769230769231,0.011248690826477047,0.6730769230769231,leave_dataset,ETTm1,train_score
train_epochs,0.01537571052236314,0.4230769230769231,0.011248690826477047,0.6730769230769231,leave_dataset,ETTm1,train_score
d_ff,0.01537571052236314,0.4230769230769231,0.011248690826477047,0.6730769230769231,leave_dataset,ETTm1,train_score
scope_config_count,0.01537571052236314,0.4230769230769231,0.011248690826477047,0.6730769230769231,leave_dataset,ETTm1,train_score
patch_to_seq_ratio,0.01537571052236314,0.4230769230769231,0.011248690826477047,0.6730769230769231,leave_dataset,ETTm1,train_score
pred_to_seq_ratio,0.01537571052236314,0.4230769230769231,0.011248690826477047,0.6730769230769231,leave_dataset,ETTm1,train_score
d_layers,0.021788191788813818,0.5454545454545454,0.00649952676744856,0.7272727272727273,leave_dataset,ETTm2,train_score
input_daily_cycle_energy_ratio,0.01968223806643313,0.5909090909090909,0.008862786784383073,0.7954545454545454,leave_dataset,ETTm2,train_score
router_multivar_correlation_condition_number,0.01968223806643313,0.5909090909090909,0.008862786784383073,0.7954545454545454,leave_dataset,ETTm2,train_score
input_turbulence_score,0.019484798111824544,0.5681818181818182,0.009062476217378613,0.7727272727272727,leave_dataset,ETTm2,train_score
input_dominant_frequency_energy_ratio,0.01945156487414122,0.5909090909090909,0.009093459976674989,0.7727272727272727,leave_dataset,ETTm2,train_score
input_spectral_entropy,0.01935126356275187,0.6136363636363636,0.009192722809162864,0.7727272727272727,leave_dataset,ETTm2,train_score
router_freq_seasonal_peak_strength,0.019331687722541527,0.5454545454545454,0.0092166250855631,0.75,leave_dataset,ETTm2,train_score
router_freq_spectral_entropy,0.019331687722541527,0.5454545454545454,0.0092166250855631,0.75,leave_dataset,ETTm2,train_score
router_timefreq_dominant_frequency_drift,0.01928271563663962,0.5454545454545454,0.009266821456288578,0.75,leave_dataset,ETTm2,train_score
router_freq_harmonic_energy_ratio,0.019198153173468853,0.5909090909090909,0.009346871677347351,0.75,leave_dataset,ETTm2,train_score
seq_len,0.019198153173468853,0.5909090909090909,0.009346871677347351,0.75,leave_dataset,ETTm2,train_score
router_multivar_missing_or_constant_channel_ratio,0.01905292874879783,0.5909090909090909,0.009491466385916848,0.75,leave_dataset,ETTm2,train_score
