model_scope,dataset,pred_len,seq_len,label_len,e_layers,d_layers,factor,action,action_config,action_mse,baseline_config,baseline_mse,oracle_mse,static_mse,oracle_action,static_config,action_gain_vs_baseline,action_regret_vs_oracle,action_gain_vs_static
Informer-fullgrid,ETTh2,48,96,96,2,1,5,bounded_linear,softsign_all,1.6064207333333334,gelu_all,2.6045811666666663,1.6064207333333334,1.6581009666666666,bounded_linear,tanh_sin001_all,0.3832326080322446,0.0,0.031168327123786494
Informer-fullgrid,ETTh2,48,96,96,2,1,5,other_linear,swish_all,2.3470193,gelu_all,2.6045811666666663,1.6064207333333334,1.6581009666666666,bounded_linear,tanh_sin001_all,0.09888801699211129,0.4610240339278489,-0.41548635890267155
Informer-fullgrid,ETTh2,48,96,96,2,1,5,output_tanh,tanh_all_outtanh,1.7857881000000002,gelu_all,2.6045811666666663,1.6064207333333334,1.6581009666666666,bounded_linear,tanh_sin001_all,0.3143665005128462,0.11165653115947927,-0.07700805674700686
Informer-fullgrid,ETTh2,168,336,336,3,2,5,baseline,gelu_all,5.1419857,gelu_all,5.1419857,2.9625697333333334,2.9625697333333334,bounded_linear,tanh_sin001_all,0.0,0.7356505206088426,-0.7356505206088426
Informer-fullgrid,ETTh2,168,336,336,3,2,5,bounded_linear,tanh_sin001_all,2.9625697333333334,gelu_all,5.1419857,2.9625697333333334,2.9625697333333334,bounded_linear,tanh_sin001_all,0.42384714657348554,0.0,0.0
Informer-fullgrid,ETTh2,168,336,336,3,2,5,other_linear,swish_all,4.0035988,gelu_all,5.1419857,2.9625697333333334,2.9625697333333334,bounded_linear,tanh_sin001_all,0.22139052234237064,0.35139394524744344,-0.35139394524744344
Informer-fullgrid,ETTh2,168,336,336,3,2,5,output_tanh,tanh_all_outtanh,2.9963396,gelu_all,5.1419857,2.9625697333333334,2.9625697333333334,bounded_linear,tanh_sin001_all,0.4172796707699907,0.011398842797421909,-0.011398842797421909
Informer-fullgrid,ETTh2,336,336,168,3,2,5,baseline,gelu_all,3.9278808,gelu_all,3.9278808,2.053870566666667,2.1715324666666667,output_tanh,tanh_sin001_all,0.0,0.9124285939667376,-0.8088059286672113
Informer-fullgrid,ETTh2,336,336,168,3,2,5,bounded_linear,tanh_sin001_all,2.1715324666666667,gelu_all,3.9278808,2.053870566666667,2.1715324666666667,output_tanh,tanh_sin001_all,0.4471490920328675,0.05728788459681736,0.0
Informer-fullgrid,ETTh2,336,336,168,3,2,5,other_linear,swish_all,3.0735696000000003,gelu_all,3.9278808,2.053870566666667,2.1715324666666667,output_tanh,tanh_sin001_all,0.21749926830773472,0.49647677408818225,-0.4153919626714002
