dataset,pred_len,activation_base,outtanh_mse,outtanh_mae,linear_mse,linear_mae,outtanh_gain_pct,outtanh_win
ETTh2,96,gelu,0.2996672689914703,0.3488405048847198,0.3015976250171661,0.3514589667320251,0.6400435101522866,True
ETTh2,96,relu,0.2997343838214874,0.3489730954170227,0.3015280365943908,0.3516058921813965,0.5948543933631522,True
ETTh2,96,swish,0.3000729382038116,0.348644882440567,0.3016811907291412,0.3508877456188202,0.5330967175787665,True
ETTh2,96,softsign,0.301622062921524,0.348933607339859,0.3027016818523407,0.3505314588546753,0.35666102818131984,True
ETTh2,96,tanh,0.3019934892654419,0.3489144742488861,0.302766889333725,0.3503179550170898,0.2554440711747051,True
ETTh2,96,tanh_sin001,0.3020112514495849,0.3489163517951965,0.3027727901935577,0.3503126800060272,0.2515215265829995,True
ETTm2,96,tanh_sin001,0.1847056299448013,0.2685017883777618,0.1838691085577011,0.2682293057441711,-0.45495482828083544,False
ETTm2,96,tanh,0.1847094297409057,0.2685062885284424,0.1838776022195816,0.2682396471500397,-0.45238110095146694,False
ETTm2,96,swish,0.1848336607217788,0.2691372334957123,0.1840196102857589,0.2688771486282348,-0.44237156831045416,False
ETTm2,96,softsign,0.1848736852407455,0.2687351703643799,0.1842130720615387,0.2685910761356354,-0.35861362704276845,False
ETTm2,96,gelu,0.1850590407848358,0.2694789469242096,0.1842259466648101,0.2691440284252167,-0.4522132387472343,False
ETTm2,96,relu,0.1851396858692169,0.2696440815925598,0.1843142211437225,0.2692257761955261,-0.44785731690812564,False
ETTm2,720,tanh,0.408508151769638,0.4024522304534912,0.4144836366176605,0.4059429168701172,1.4416696631945902,True
ETTm2,720,tanh_sin001,0.4085274934768677,0.4024664759635925,0.4144042432308197,0.4058984220027923,1.418120072356191,True
ETTm2,720,softsign,0.4096701145172119,0.4029985964298248,0.4154503345489502,0.4068096280097961,1.3913143283453608,True
ETTm2,720,swish,0.4103966057300567,0.4043412804603576,0.4140563607215881,0.4062260687351227,0.8838784616551743,True
ETTm2,720,relu,0.4107796549797058,0.4045779109001159,0.4144598543643951,0.406553566455841,0.8879507498580614,True
ETTm2,720,gelu,0.4109402000904083,0.404696375131607,0.414091557264328,0.4065375030040741,0.7610290812831194,True
